Tissue,CT,Gene
Bone,Stem cell,"MCAM,CD34,PTPRC,THY1,NT5E,THY1,RUNX2,MID1,CD34"
Bone,T cell,"CD69,CD3D"
Bone,Tissue resident memory T(TRM) cell,"CD69,ITGAE,ZNF683,S1PR1,CRTAM,ITGAE"
Bone,Type 17 T cell,"KLRB1,CCR6"
Bone marrow,Antibody-secreting cell,"ENTPD1,IL6ST,CD81"
Bone marrow,Astrocyte,"AQP1,GFAP"
Bone marrow,B cell,"CD19,MS4A1,MME,CD34,MS4A1,CD19,MS4A1,PAX5,CD24,LMO2,GCSAM,BCL2,BCL6,MME,CD19,MS4A1,CD79B,CD52,MS4A1,PTPRC,CD19,CD38,SPN,FCER2,CR2,CD24,CD5,CD27,CD40,CD27,CD24,MS4A1,CD19,CD38,HLA-DRA,CD38,CD24,IGKC,BLK,IGL,MME,IGKC,BLK,IGL,CD79A,TERF2,IGHA1,IGHG1,TCL1A,BLNK,CD79A,IGHG1,CD19,ARPP21,RPS4Y2,CD19,IGHA1,PAX5,PAX5,CD72,CD24,CD72,VPREB3,BLNK,CD19,CD19,FCRL1,CD79B,CD22,MS4A1,PAX5,BLNK,CD79A,BANK1,CD19,PTPRC,MS4A1,MS4A1,CD19,CD79A,CD19,CD22,CD79A,IL7R,CD19,RAG1,TNFRSF13C,MS4A1,EIF4EBP1,RAG2,MS4A1,CD79A,CD19"
Bone marrow,Blast cell,"ANPEP,CD34"
Bone marrow,Bone marrow stem cell,"CD44,THY1,CD34,ALCAM,CD14,ITGB1,PTPRC,NT5E"
Bone marrow,Bone-specific cell,"BGLAP,BMP2,RUNX2,ALPL,SPP1"
Bone marrow,CD14 monocyte,"FCN1,CD14"
Bone marrow,CD16 monocyte,"FCGR3A,FCN1"
Bone marrow,CD34+ common lymphoid progenitor cell,"DNTT,IGLL1"
Bone marrow,CD34+ erythroid progenitor cell,"APOC1,TMEM14C"
Bone marrow,CD34+ granulocytic progenitor cell,"PRTN3,ELANE,PRSS57"
Bone marrow,CD34+ hematopoietic stem cell,"PRDX1,AVP,SPINK2"
Bone marrow,CD34+ megakaryocyte-erythroid progenitor cell,"SERPINB1,CYTL1"
Bone marrow,CD34+ pre-B cell,"IGLL1,STMN1,VPREB1,CD79B"
Bone marrow,CD34+ pre-T cell,"NKG7,GNLY"
Bone marrow,CD4+ T cell,"CD3E,CD4,IL7R,CCR7,FAM102A,CD4"
Bone marrow,CD8+ T cell,"TPSAB1,CPA3,KIT,MS4A2,CD8A,MAL,CD8B,CST7,THEMIS,CD28,ANK3,IKZF3,PRF1,CD8A,ZBTB38,AQP3,PRDM1,PLCG2,CD3E,IL32,JUNB,IL7R,APC"
Bone marrow,Cancer cell,"OLIG3,BARHL1,PCSK9,ZIC1,PDE1C,PAX6,IFITM1,MS4A1,CD4,CD5,CD33,HJURP,SLAMF7,TNFRSF17,CD38,SDC1"
Bone marrow,Central memory CD8+ T cell,"CCR7,SELL,IL7R"
Bone marrow,Classical monocyte,"CD14,FCGR3A"
Bone marrow,Common lymphoid progenitor cell,"SPINK2,DNTT"
Bone marrow,Common myeloid progenitor cell,"CSF3R,CSF2RB"
Bone marrow,Conventional dendritic cell 1(cDC1),"CD59,THBD"
Bone marrow,Conventional dendritic cell(cDC),"THBD,CLEC9A,CD1C,THBD,XCR1"
Bone marrow,Cytotoxic CD4+ T cell,"CD4,GZMA"
Bone marrow,Cytotoxic CD8+ T cell,"SLAMF7,GZMA,CD8A,GNLY,CD8A"
Bone marrow,Cytotoxic natural killer cell,"KLRF1,XCL1"
Bone marrow,Dendritic cell,"CD40,CD80,CD86,CD86,PDCD1LG2,PTPRC,CCL17,CLEC9A,CD1C,CD1C,LAMP3,LAMP3,CLEC9A,CCL17,IRF7,IRF8,PLAC8"
Bone marrow,Dendritic cell lineage,"SIGLEC6,AXL,IL3RA,CD33,CD2,SIRPA"
Bone marrow,Dendritic cell progenitor,"CD34,CSF1R,FLT3,IL3RA,CSF2RA,KIT,CD33,SIGLEC1,CX3CR1,CLEC4C,CD22,AXL,IL3RA,SIGLEC6"
Bone marrow,Early CD34+ megakaryocyte-erythroid progenitor cell,"SERPINB1,HSP90AB1,CYTL1,TMEM14C"
Bone marrow,Early myeloid cell,"ANPEP,IL3RA"
Bone marrow,Early-erythroblast,"AHSP,TMEM14C"
Bone marrow,Endothelial cell,"CD34,FLT1,CXCR4,PLVAP,S1PR1,S1PR3,KIT,MCAM,PECAM1,SELE,SELP,TEK,VCAM1,S1PR4,S1PR2,S1PR5,PECAM1,PECAM1,PECAM1,CDH5,CDH5,CD34,PECAM1,PECAM1"
Bone marrow,Endothelial progenitor cell,"CD34,PROM1,NANOG,KIT,CD34,PECAM1,PROM1,PECAM1,THY1,CD34,FLT3"
Bone marrow,Eosinophil,"LYZ,RETN,S100A8,S100A9"
Bone marrow,Epithelial cell,"CD14,PTPRC"
Bone marrow,Erythroblast,"AHSP,HBB,HBA2"
Bone marrow,Erythroid progenitor cell,"CA1,HBD"
Bone marrow,Exhausted CD8+ T cell,"HAVCR2,CD8A,LAG3"
Bone marrow,Follicular B cell,"CD79A,CD74"
Bone marrow,GZMK CD8 cell,"CD8A,GZMK"
Bone marrow,Gamma delta(γδ) T cell,"TRDC,TRGV9"
Bone marrow,Granulocyte,"FUT4,CD14,FUT4"
Bone marrow,Granulocyte-monocyte progenitor cell(GMP),"MPO,AZU1"
Bone marrow,Granulocytic-UNK,"MPO,RETN,LYZ"
Bone marrow,Hematopoietic cell,"PTPRC,KIT,CD8A,CD4,PTPRC,MS4A1,CD33,CD19,IL3RA,CD38,THY1,CD34,PTPRC,CD34"
Bone marrow,Hematopoietic progenitor cell,"CD34,CD34,MSRB3,MEIS1,CRHBP,CRHBP,FAM124B,FAM124B,CRYGD,AVP,HOXA3,KCNJ13,HOXB6,LAPTM4B,LAPTM4B,EXD2,ATP8B4,CLEC3B,ELN,HTR1F,ANGPT1,MYCT1,CLEC3B,FLT3,CRYGD,HOXB6,HLF,KCNJ13,ATP8B4,KLF1,THY1,THY1,SPINK2,HLF,HOXA3,ELN,FLT3,EXD2,MPL,VWF,SPINK2,VWF,KLF1,MMRN1,MMRN1,MPL,MEIS1,CRHBP,CD34,AVP"
Bone marrow,Hematopoietic stem cell,"ALDH1A1,BMI1,CD33,CD34,CD38,CD44,CD48,FLT3,GATA2,GFI1,MCL1,MYB,PTEN,SPI1,CXCR4,ABCG2,CD93,CD244,CDCP1,ESAM,CASP3,MECOM,FLT3,FLT3,IL7R,ITGA6,ITGA2B,KDR,KDR,KIT,KITLG,MPL,MYC,NGFR,PECAM1,ABCB1,PTPRC,NECTIN1,SLAMF1,THY1,VCAM1,ZBTB16,CXCR4,PROM1,ABCG2,PROCR,PROM1,CD34,CD38,THY1,THY1,CD34,CD34,AVP,MMRN1,HOXB6,HOXA3,HLF,KCNJ13,ANGPT1,ELN,HOXB6,HLF,KCNJ13,FLT3,CRYGD,EXD2,HTR1F,CRHBP,ELN,SPINK2,FLT3,CRHBP,MEIS1,SPINK2,LAPTM4B,EXD2,HOXA3,CRYGD,MPL,VWF,FAM124B,MSRB3,ATP8B4,CLEC3B,MYCT1,KLF1,THY1,FAM124B,KLF1,MPL,MEIS1,LAPTM4B,CLEC3B,ATP8B4,MMRN1,VWF,THY1,AVP,CD34,KIT,THY1,ITGA6,CD38,CD34,CD34,KIT,CD34,AVP,CRHBP"
Bone marrow,Immature B cell,"TCL1A,PAX5"
Bone marrow,Immature neutrophil,"CST3,CTSS"
Bone marrow,Immune cell,"PTPRC,PTPRC"
Bone marrow,Innate lymphoid cell Type 2,"KLRB1,CCR4"
Bone marrow,LTF granulocyte,"CAMP,LTF"
Bone marrow,Langerhans cell,"CD207,TACSTD2"
Bone marrow,Leukemic progenitor cell,"CD38,CD34"
Bone marrow,Lymphocyte,"CD8A,CD4,CD2,CD4,CD8A,CD14,PTPRC,CD19,CD22,CD5,SASH3"
Bone marrow,Lymphoid-primed multipotent progenitor cell(LMPP),"CD52,CD38,MME,CSF3R,SELL,ITGA2B,SPINK2,FCER1A,HBD,EGR1"
Bone marrow,M2 macrophage,"MRC1,CD163,ABL2,MRC1,CCL2,IL10,RETNLB,CD163,MRC1,MRC1"
Bone marrow,MPO granulocyte,"AZU1,MPO"
Bone marrow,Macrophage,"CD68,CD14,MRC1,ARG1,IRF5,CD86,CD163,MSR1,CD209,MRC1,CD68,CD34,CD14,ITGAM,CSF3R,CD68,CD68,CD163,MRC1,SIGLEC1,MSR1,CD68,CXCL9,SELENOP,CCL18,IFITM2,PPARG,TIMP1,PPARG,SELENOP,MRC1,FGD2,CD14,MRC1,IL10,CD86,CD163,CD68"
Bone marrow,Malignant plasma cell,"FRZB,IFI27,IL6R,DKK1,EDNRB"
Bone marrow,Mast cell,"ENPP3,CD2,IL2RA,IL2RA,KIT,KIT,IL2RA,CD2,ENPP3,CD33"
Bone marrow,Mast progenitor cell,"CLC,MS4A2"
Bone marrow,Mature osteoblast,"SPP1,BGLAP"
Bone marrow,Megakaryocyte,"ITGA2B,ITGA2B,PPBP,PF4,ITGA2B,PTPRJ,CD48,PPBP,PF4"
Bone marrow,Memory B cell,"CEACAM21,CR2,CCR2,CD27"
Bone marrow,Memory T cell,"CD69,ITGAE"
Bone marrow,Memory regulatory T cell,"FOXP3,CD4,IL2RA"
Bone marrow,Mesenchymal cell,"THY1,NT5E,VIM,CDH2"
Bone marrow,Mesenchymal stem cell,"ANPEP,CD34,PTPRC,CD14,ITGB1,THY1,NT5E,NGFR,ITGB1,CASP3,NT5E,THY1,CD44,CD34,SUSD2,CASP3,CD44,ITGB1,THY1,PTPRC,CD34,ANPEP,CD4,NT5E,THY1,THY1,NT5E,ITGA6,MME,THY1,NT5E,MCAM,CXCR4,NGFR,NT5E,THY1,CD34,NT5E,THY1,PTPRC,CD19,THY1,PTPRC,NT5E,CD34,CD14,NT5E,THY1,PTPRC,CD34,NT5E,THY1,NT5E,ISLR,THY1,EPCAM,THY1,PTPRC,ITGB1,NT5E,CD34,CD14,PDGFRA,CXCL12,CD44,ITGB1,NT5E,THY1,CD44,NT5E,CD44,ITGB1"
Bone marrow,Mesenchymal stromal cell,"CSPG4,SUSD2,CD19,CD14,CD34,PECAM1,THY1,CD44,NT5E,PTPRC,THY1,NT5E,CD34,PTPRC,PECAM1,NGFR,CD44,CD34,NGFR,SUSD2,THY1,NT5E,PTPRC,BSG,CD276,CD59,CD44,CD81,SLC3A2,CD47,ITGB1,NT5E,THY1,CD151,ANPEP,THY1,ISLR,NT5E,PDGFRB,LEPR,CXCL12"
Bone marrow,Microglial cell,"BTG2,TRA2B,RGS2,JUN,CX3CR1,MALAT1,P2RY12,DUSP1,SON,TMEM119,RGS1,ATF3,FUS,MEF2C,MEF2A,FOS"
Bone marrow,Monocyte,"PECAM1,CD14,FCGR3A,CD14,CD14,FCGR3A,CD14,CD14,CD14,CD68,CSF3R,CD34,ITGAM,CD68,CD163,MRC1,MSR1,SIGLEC1,VCAN,S100A8,CD14,FCGR1A,CCR2,SECISBP2L,CD163,CD14,FUT4,S100A12,CD14,FCGR3A,FCGR3A,MS4A7,SLC7A7,MAFB,LILRB1,CD68,LRP1,CD86,BCL3,CD14,PSAP,SLC15A3,TUBB,CCL17,CCL17,FCN1,S100A8,FGD2,VCAN,CTSS,CST3,FCGR3A,LST1,CD14,LYZ,FCGR3A,CD163,CD68"
Bone marrow,Monocyte Myeloid-derived suppressor cell (M-MDSC),"CD33,CD14"
Bone marrow,Monocyte derived dendritic cell,"SIRPA,S100A8,MRC1,S100A9,CD209"
Bone marrow,Monocyte-derived dendritic cell,"MRC1,CD14,FCGR1A,CD1C"
Bone marrow,Monocyte-derived macrophage,"FCGR1A,CD68,CD14,CD163"
Bone marrow,Multipotent mesenchymal stroma cell,"PTPRC,THY1,NT5E,CD34,CD14,CD19,NGFR"
Bone marrow,Multipotent stromal cell,"THY1,ITGAV,NT5E,MCAM"
Bone marrow,Myeloid cell,"CD4,CD9,CD14,CD80,CD86,CD33,CD34,CD38,CD40,CD48,CD68,CD69,CD81,FLT3,CXCR3,ZAP70,MARCO,CD84,CD163,SIGLEC8,CD244,CD177,CD24,ANPEP,FASLG,CEACAM8,CCR3,CCR4,CCR5,CSF1R,FCER2,FCGR2A,FCGR3A,FUT4,CXCR3,IL2RA,IL2RB,IL3RA,IL6ST,IL12RB1,ITGA6,ITGAV,KIT,LY75,MME,MRC1,ENPP3,PECAM1,PTPRC,SELL,SIGLEC1,SPN,ST2,THBD,TLR2,TLR4,VCAM1,VEGFA,IL18R1,PTGDR2,IL17RA,TLR9,CD200R1,CCR2,FLT3,GYPA,PROM1,SULT1C2,SIGLEC5,SULT1C2,SPI1,PTGDS,MARCO,CXCL5,SPI1,CXCL5,TNFRSF10C,CCL7,S100A9,S100A12,DYSF,S100A12,SIGLEC5,MARCO,PTGDS,CD33,DYSF,BST1,S100A8,CSF3R,CHI3L1,CCL7,CLEC5A,CEACAM3,FUT4,CLEC5A,PCOLCE2,CHIT1,CD163,CD93,CSF1R,MSR1,FLT3,FLT3,ATG7,PDE4B,G0S2,CSF1R,CHI3L1,MSR1,SERPINA1,CD83,CD163,CD14,VNN3P,CD93,FPR1,FPR2,BST1,CD14,COL8A2,COL8A2,CEBPA,CTSK,TNFRSF10C,CREB5,VNN3P,CD33,FCGR3A,FCGR3A,CD1C,CD1C,CHIT1,CD68,CD83,MNDA,CRISPLD2,CREB5,LILRB2,LILRB2,FPR1,FCGR3B,DNASE2B,ME1,CEACAM3,GM2A,MS4A4A,G0S2,ATG7,CYBB,ITGAM,CEBPA,MS4A4A,FCGR3B,DNASE2B,ME1,FPR2,HLA-DRA,CRISPLD2,CSF3R,FCN1,HLA-DRA,ITGAM,PCOLCE2,CYBB,PDE4B,CD68,FUT4,CTSK,FCAR,SCARB2,EMP1,EMP1,SCARB2,FCAR,VCAN,GM2A,CD19,CD22,CD68,TLR4,ITGAX,CD80,HLA-DRA,LYZ,LRP1,CYBB,FGR,VCAN,MNDA,FCN1,MPO,S100A8,ELANE,S100A9,ANPEP,FUT4,KIT,CD33,PPIA,FCN1"
Bone marrow,Myeloid conventional dendritic cell,"CD1C,THBD,CD2,CLEC10A,SIRPA,BTLA,CLEC4A,CLEC9A,CADM1,LILRA2,CD226,XCR1,DPP4,CD226,CLEC4A"
Bone marrow,Naive CD4 T cell,"LTB,CD4"
Bone marrow,Naive CD8+ T cell,"CCR7,TCF7,NELL2,FOXP1,LEF1,SELL,IL7R,CCR7,SELL,CD8A"
Bone marrow,Naive T cell,"CCR5,CCR7"
Bone marrow,Naive T(Th0) cell,"CD3E,IL7R,JUNB,IL32"
Bone marrow,Natural killer cell,"CD34,MME,CD38,KLRK1,KLRC2,FCGR3A,TBX21,KLRF1,TBX21,CASP5,GZMB,TP53TG5,SPON2,L1TD1,CASP5,GSG1,GSG1,GNLY,FGFBP2,L1TD1,TP53TG5,KLRC1,IL18RAP,NMUR1,KLRB1,NCR1,PTGDR,NCR1,KLRD1,NCAM1,IL18RAP,CLIC3,KLRB1,PTGDR,XCL1,NMUR1,NCAM1,CCL3,XCL1,KLRD1,PRF1,IL7R,KLRF1,KLRK1,NCAM1,GNLY,KLRD1,IL2RB,GZMA,KLRC1,NCAM1,CD7,KLRC2,KLRD1,KLRF1,NCAM1,GNLY,NKG7,NCAM1,NCAM1,CX3CR1,CXCR4,KLRF1,NKG7,GNLY,NKG7"
Bone marrow,Negative mesenchymal stem cell,"CD34,CD19,PTPRC"
Bone marrow,Neutrophil,"FCGR3A,FUT4,MPO,FUT4,FCGR3A,ANPEP,CD34,FCGR3A,CD14,CEACAM8,S100A8,IFITM2,STAT1,PI3,SLAMF6,GBP4,TAGAP,IRF1,TNFSF13B,GBP1,TAP1,IFIT3,GBP5,DUSP2,CXCL8,GDA,S100A6,S100A8,S100A8,S100A9"
Bone marrow,Non-classical monocyte,"CX3CR1,FCGR3A,SECISBP2L,FCGR3A"
Bone marrow,Nucleus pulposus cell,"SOX9,KRT19,ACAN,KRT8,KRT18,COL2A1,FOXF1"
Bone marrow,Osteocyte,"SPP1,BGLAP,PHEX,ALPL"
Bone marrow,Pericyte,"NT5E,PPARG,DLK1,DPP4,ICAM2,THY1,CD44"
Bone marrow,Plasma cell,"SDC1,SDC1,SDC1,KIT,SDC1,TNFRSF17,SLAMF7,SDC1,SLAMF7,ICAM1,SDC1,LY9,SDC1,CD27,CD38,SDC1,SDC1,SLAMF7,TNFRSF17,SDC1,CD38,CD38,IL6R,CD28,SLAMF7,SDC1,SLAMF7,SDC1,CD27,TNFRSF17,CD38,MZB1,TNFRSF17,CD38,SDC1,MZB1,IGLL5"
Bone marrow,Plasmacytoid dendritic cell,"LILRB4,NRP1,CLEC4C,TNFRSF21,LILRA4,NRP1,IL3RA,CLEC4C,CLEC4C"
Bone marrow,Plasmacytoid dendritic cell(pDC),"CLEC4C,IL3RA,NRP1,GZMB,JCHAIN,TCL1A"
Bone marrow,Pluripotency cell,"NANOG,SOX2,POU5F1"
Bone marrow,Polymorphonuclear myeloid-derived suppressor cell,"CD33,FUT4"
Bone marrow,Positive mesenchymal stem cell,"THY1,NT5E"
Bone marrow,Pre-B cell,"CD38,CD34,MME,CD19,TCL1A"
Bone marrow,Pre-conventional dendritic cell,"CD33,NRP1,CLEC4C,IL3RA,CLEC4C,NRP1,KIT,CSF2RA"
Bone marrow,Pre-dendritic cell,"CD74,HLA-DPA1,FCER1A"
Bone marrow,Primitive stromal cell,"LEPR,PDGFRA"
Bone marrow,Pro-B cell,"RAG1,VPREB1"
Bone marrow,Progenitor cell,"BAALC,CD34,CD34,PROM1,CD34,KIT,CD38,CD34,CD38,IRF7,IRF8"
Bone marrow,Proliferating stem cell,"CD34,PAX5"
Bone marrow,Red blood cell (erythrocyte),"GYPA,GYPA,HBA1,AHSP,HBB,HBA1,HBQ1,SLC4A1,RHCE,HBG2,HBQ1,RHCE,HBA2,HBG1,ALAS2,GYPA,HBA2,ALAS2,HBM,CA1,GYPA,TFRC,KIT,CD36,TFRC,CD34,HBD,CA1,TFRC,ENG,TFR2,GYPA,GYPC"
Bone marrow,Regulatory T (Treg) cell,"CCR6,CCR4,FOXP3,IL2RA,CD4"
Bone marrow,Regulatory T(Treg) cell,"IL2RA,IKZF2,CTLA4,IL10RA,TIGIT"
Bone marrow,Sensory neuron,"POU4F1,PTPRT,P2RX3,GFRA2,NRG1"
Bone marrow,Stem cell,"ADGRG1,CD34,SOX2,CD34,IL1RAP,HAVCR2,DPP4,KIT,IL3RA,CD36,CLEC12A,IL3RA,IL2RA,CD33,CD33,CD34,SOX4,GAS1,DPP4"
Bone marrow,Stromal cell,"ANPEP,THY1,MME,ITGB1,PTPRC,NT5E,CD44,ITGA1,THY1,ALCAM,CD34,MCAM,NGFR,THY1,NT5E,FAP,ACTA2,TAGLN,CD3D,APOE,CXCL12,JUNB,PECAM1"
Bone marrow,T cell,"CD2,CD247,GZMA,CD3D,CD8A,GZMM,GZMK,CD3G,TRA,CCR7,CD3D,NELL2,LAT,LAT,TRAC,CD2,CD3D,CD27,RCAN3,CD2,CD27,CD28,CD3G,CD28,LINC02446,CD3G,CD8B,TRAT1,BCL11B,BCL11B,TRABD2A,CD3D,CAMK4,IL7R,LCK,CD3D,TRAC,CD3G,TRBC2,CD4,CD8A,CD7,CD8A"
Bone marrow,T helper cell,"CCR6,CCR4"
Bone marrow,T1 (Transitional) B cell,"CD19,MME,PTPRC"
Bone marrow,T2 (Transitional) B cell,"PTPRC,CD19,MME"
Bone marrow,Tissue resident memory T(TRM) cell,"ITGAE,CD69"
Bone marrow,Transitional B cell,"CD19,MME,PTPRC"
Bone marrow,hMSC-treated B cell,"CD40,CD27,CD5,FCER2,CD24,CD38,SPN,CR2"
Brain,A1 astrocyte,"CFB,C3"
Brain,Activated B cell,"IGHM,CD79A,CD74,CD27"
Brain,Activated CD4+ T cell,"PTPRC,CD4"
Brain,Activated CD8+ T cell,"PTPRC,CCL5,CD8B,CD8A"
Brain,Activated macrophage,"PTPRC,CD68"
Brain,Activated microglial cell,"TMEM119,CD68,CD68"
Brain,Adult neuronal stem cell,"TNFRSF19,TNFRSF19"
Brain,Anterior hindbrain cell,"GBX2,IRX3,HOXA2,HOXB2"
Brain,Antigen-presenting cell,"CD86,CD80,CD40"
Brain,Astrocyte,"CD80,CD86,CD40,GFAP,C5AR1,GFAP,CYBRD1,GLI3,FGFR3,RNF43,TRIM66,SLC30A10,SLC4A4,CHRDL1,HGF,SLC14A1,NWD1,CTH,ITGA7,ALDH1L1,SORCS2,C16orf89,PAQR6,CBS,ATP13A4,BMPR1B,ITGB4,PPP1R3C,AQP4,GLIS3,GFAP,NFIA,ALDH1L1,S100B,GFAP,GFAP,CST3,IER2,PAPLN,GABRB1,CLU,PRLHR,FTH1,HLA-E,APOE,NTRK2,MLC1,LIX1,HIF1A,TNS1,TIMP3,PRRT2,DNASE2,CHST9,TACR1,GRIA1,SPARCL1,TPCN1,CPVL,SEMA6A,KCNIP2,TRIL,ATP13A4,GRAMD2B,TSPAN12,IGFBP7,MMD2,CASTOR1,HEPN1,CASQ1,TOB2,NOG,PLTP,MAFB,PON2,DGKG,CPNE5,LYPD1,FOSB,P2RY1,EDNRB,FXYD7,SCG2,ID1,ALDOC,SOX9,ZFP36L1,SPON1,SRPX,ATP1B2,AGT,SPOCK1,ATF3,DKK3,JUNB,RND3,METTL7A,NHSL1,SERPINA3,PFKFB3,LHFPL6,RHOB,CRYAB,ABCA1,KCNH7,JUN,EGLN3,NFKBIA,LRIG1,FOS,HNMT,EEPD1,EPAS1,LPL,HEY1,NRP1,ARHGEF26,CA12,CDC42EP4,RASSF4,MTHFD2,MT1X,ST6GAL2,ZFP36L2,JUND,SLC1A2,SF3A1,BBOX1,HSPB8,DTNA,BTG2,ADCYAP1R1,EFEMP1,GLUL,GPR75,DOK5,IL11RA,ZFP36,F3,RFX4,HEPACAM,MIR9-1HG,SLC1A3,L1CAM,SLC39A11,ACSL6,DNAJB1,TBC1D10A,TSC22D4,RGMA,PEA15,SORL1,NDRG2,ID4,IL33,SSTR2,CBS,HIF3A,CPE,TMEM151B,PSAP,ANLN,LCAT,RASL10A,LRRC8A,ZFAND5,EZR,MT2A,DAND5,GADD45B,PER1,KIF21A,SCG3,SOX9,GJA1,AQP4,ALDH1L1,SLC1A3,GFAP,SOX9,S100B,GFAP,KCNJ10,LGR6,OLIG2,CHI3L1,AQP4,GFAP,S100B,GFAP,S100B,SLC1A3,GFAP,SLC1A3,GFAP,MLC1,S100B,SLC1A3,S100B,GFAP,SLC1A3,ID3,SLC14A1,MT1F,PRDM16-DT,DIO2,SLC1A2,THBS1,AQP4,DIO2,GFAP,SOX9,GJA1,AQP4,ALDH1L1,GFAP,GFAP,AQP4,SOX9,BMPR1B,AQP4,SLC1A2,GFAP,SLC1A3,S100B,ALDH1L1,GFAP,PEA15,GLUL,FABP7,CHI3L1,GFAP,S100B,AQP4,AQP4,ALDH1L1,GFAP,SLC1A3,ALDOC,S100B,GFAP,OLIG2,PCDH15,OLIG1,NDRG2,PDGFRA,GFAP,ALDH1A1,VIM,PTGDS,AQP4,GLUL,SOX9,GJA1,ALDH1L1,GFAP,APC,IRAG1,STOX1,GASK1B,ITGA6,LRRC3B,RYR3,S100B,GLUL,ALDH1A1,SLC1A2,SLC1A2,SLC1A3,S100B,CD44,ALDOC,S100B,AQP4,GFAP,GFAP,GFAP,GFAP,GFAP,GFAP,AQP4,MLC1,CST3,GFAP,AQP4,AQP4,ITGA1,CD109,COL12A1,CLU,LAMB2,GFAP,GFAP,GFAP,SLC1A3,CD44,SLC1A2,AQP4,HSP90AA1,PTN,GPC5,HSPB1,TNC,CADM2,NRXN1,GLUL,GPC5,SLC1A2,GFAP,NRXN1,HSP90AA1,AQP4,CD44,PTN,SLC1A2,CADM2,GLUL,HSPB1,SLC1A3,AQP4,TNC,GFAP,AQP4,MBP,GFAP,GFAP,ALDOC,CLU,GFAP,ATP1A2,SLC1A2,AQP4,ATP1B2,GFAP,MT3,PON2,ATP1A2,SLC1A3,HEPN1,AQP4,HEPACAM,CLU,GFAP,GFAP,AQP4,GFAP,CD44,GFAP,AQP4,GFAP,GFAP,MLC1,ACSBG1,SLC25A18,RFX4,DIO2,AQP4,CHRDL1,SLC39A12,PPP1R3G,ALDH1L1,F3,GJB6,SLC15A2,ALDOC,SLC14A1,SLC1A3,SLC1A2,SLC4A4,TTPA,GFAP,SYNE3,SLC1A2,SOX2,GFAP,TSPO,AQP4,SOX9,GFAP,TNC,AQP4,APOE,HOPX,FAM107A,ATP1B2,CLU,AQP4,NFIA,IQCK,CLU,MEF2C,AQP4,ITGA6,LRP1,PISD,MPG,VIM,GFAP,SLC1A2,CHI3L1,APC,SLC1A3,ALDH1L1,S100B,ALDH1A1,VIM,GFAP,AQP4,IL17A,GFAP,AQP4,GFAP"
Brain,B cell,"MS4A1,CD19,MS4A1,CD19,CD19,MS4A1,CD19,MS4A1,MS4A1,CD79A,CD19,NUGGC,FCRLA,MZB1,FCER2,CD79B,MS4A1,JCHAIN,BLK,IKZF3,PTPRC,CD79A,MS4A1,CD69,CXCR3,CD27,CD19,MS4A1,HLA-DPB1,IGHG3,IGHG1,HLA-DQA1,CD79A,CD19,CD79A,CD19,MS4A1"
Brain,Brain cell,"FOXG1,ZIC3,NRP1,ZIC2"
Brain,CD14+ monocyte,"FCGR3A,CD14"
Brain,CD4+ T cell,"CD4,PTPRC,HAVCR1,IL7R,GDF9,DOCK7,CDH3,INAVA,CEBPG,PRXL2A,COG5,ASCC2,DAG1,FOXD1,GNPDA1,HOXA-AS3,HOXA-AS2,ACO2,IRF1-AS1,HOXA3,DLD,CD6,CUL2,CBLL1,FNDC3A,HOXA5,DUS4L,GLRX,CDR3,CD4,CD3D,CD3G,CD3E"
Brain,CD8+ T cell,"CD160,PTPRC,CD8A,CCL5,CD8B,CD8A,CD8A,CD3D,CD8B,CD8A,CD3E,CD3G"
Brain,Cancer cell,"MBTPS2,PARP1,CD44,EGFR,BRAF,KRAS,TP53,NF2,TERT,IDH1,PIK3R1,EGFR,NRAS,PTEN,DLX1,GFAP,VIM,MKI67,DCX,ACYP2,LCN2,SLC22A17,DNAAF1,RSPH1,CAPS,PMEL,CD276,ASPM,CHD5,TOP2A,PCDH9,EZH2,PBK,AQP4,SOX2,POU5F1,PROM1,EGFR,PDGFRA,GFAP,S100B,SAMD9,COL1A2,PTPRZ1,MARCKSL1,GPM6A,TUBA1A,MIR9-1HG,TUBB2B,BCAN,PTN,EGFR,CD276,KLRB1,TIMP1,EGFR"
Brain,Cancer stem cell,"PROM1,PROM1,PROM1,PROM1,PROM1,HOXD9,CD44,PROM1,ALDH1A1,PROM1,PROM1,PROM1,THY1,NGFR,PROM1,PROM1,PROM1,PROM1,PROM1,SOX2,SOX2,PROM1,SOX2,POU5F1,SOX2,SOX2,FUT4,PROM1,PROM1,SLC2A3,BMI1,PROM1,SOX2,PROM1,CLCC1,SCAMP3,CADM1,SLC16A1,HMOX1,THY1,PROM1,FUT4,SOX2,NANOG,PROM1,ASCL1,SOX11,EGFR,SOX2,TCF4,NFIB,BOC,CHD7,CCND2,CD24,SOX4,PROM1,ASCL1,PROM1,CD44,POU5F1,PROM1,POU5F1,SOX2,FUT4,PROM1,CD44,POU5F1,PROM1,KIT,NANOG,SOX2,NES,EMX2,NOTCH1,SOX2,PROM1,HES1,THY1,PROM1,L1CAM,KIT,ALDH1A1,POU5F1,BMI1,CXCR4,FUT4,ABCG2,ITGA6,PTPRC,CD44,CX3CR1,CD44,ALDH1A1,PROM1,POU5F1,FUT4,CD44,PROM1,PROM1,POU5F1,PROM1,SOX2,POU3F2,OLIG2,ZNF117,NES"
