Tissue,CT,Gene
Airway,Red blood cell (erythrocyte),"HBA1,HBB,HBA2"
Airway,Regulatory T(Treg) cell,"FAS,IL2RA,FOXP3"
Airway,T cell,"TRBC2,TRGC1,CD3D,TRAC,TRDC,TRGC2,TRBC1,CD4,CD8A,GATA3"
Airway,Tissue resident memory CD4+ T cell,"FAS,IL2RA,CD69,CD4"
Airway,Tissue resident memory CD8+ T cell,"CD8A,CD69,CXCR5"
Airway epithelium,Distal epithelial cell,"SOX9,NAPSA"
Artery,Artery cell,"GJA5,ELN,ARL15,IGFBP3,EGR1"
Artery,Capillary cell,"IGFBP3,ARL15"
Artery,Endothelial cell,"HEY2,CDH5,KDR,PECAM1"
Artery,Macrophage,"CD68,CD68,CD68,LYVE1"
Artery,Smooth muscle cell,"TAGLN,ACTA2,CNN1,MYH11"
Artery,T cell,"IL2RA,CD4,CD8A"
Arthrosis,CD8+ T cell,"STMN1,MKI67"
Arthrosis,T helper 17(Th17) cell,"CCR6,KLRB1"
Articular Cartilage,Cartilage Progenitor cell,"BIRC5,STMN1,DHFR,CENPU"
Articular Cartilage,Effector chondrocyte,"KIF9,CHRDL2,CYSTM1,TF,TPM4,RARRES2,DSC2"
Articular Cartilage,Fibroblast,"COL5A1,COL3A1,COL1A1,S100A4"
Articular Cartilage,Fibrocartilage chondrocyte,"MTRNR2L1,COL4A2,IFI16,COL14A1,FBN1,SPARCL1,MTRNR2L2,SPRY1,ANGPTL1,LAMA4,EBF1,ESD,RAB13,FKBP1A,SCP2,BLOC1S1,DPYSL2,THY1,TMSB4X,ID3,PSME1,IFI27,SRPX,GNG11,HES1,TRAPPC1,C1orf54,TCEAL9,ATP5ME,MTRNR2L9,SULF1,CLEC11A,CCN5,TPM1,HCFC1R1,ID1,SLIT3,ADAMTS2,PDGFRA,AHNAK,RSU1,COL18A1,S100A4,COL5A1,CDH13,CXCL12,CERCAM,TGFBI,LRRC15,IFI6,MTRNR2L8,OLFML2B,NDUFS8,PLTP,LGALS3BP,PDGFRB,PPIC,ATP5PD,PDLIM2,GPNMB,PTN,TCF4,COL6A3,TCEAL8,DKK3,EPHX1,ANPEP,NOTCH3,MMP2,MXRA8,SERPINF1,ISCU,LY6E,CYB5A,CRABP2,DPT,LEPROT,APOBEC3C,UACA,GSTK1,TMEM119,ECM1,TMEM50A,DRAP1,COL1A2,AHR,BBLN,RAB31,PLEC,MGST3,PRRX1,ATP5MC2,OLFML3,PHPT1,HIGD2A,SFXN3,PDGFRL,ZFP36L1,COL4A1,AQP1,ATOX1,VAMP5,MARCKS,IFITM2,CAVIN3,COL1A1,IGFBP7,SERPINH1,ZFP36L2,CADM1,SELENOW,POSTN,EHD2,IGFBP6,IGFBP5,PRSS23,MYL9"
Articular Cartilage,Hematopoietic cell,"PROM1,CD34,PTPRC"
Articular Cartilage,Homeostatic chondrocyte,"IER2,IER5,NXF1,EIF4A3,NR4A1,RASD1,HEXIM1,CHMP1B,TSC22D2,CCNL1,DDIT3,ZFP36,KLF2,CDKN2AIP,CKS2,PCF11,NUFIP2,KLF10,SLC40A1,KMT2E,TIPARP,ING1,ARL6IP1,PLK2,TOB1,ZNF395,PNRC1,ZFP36L2,ADM,WSB1,H2AX,MASTL,TRA2A,ISM1,WWP2,INTS6,RHOB,RSRP1,DNAJB4,ID1,SNAI1,PPP1R10,PPP1R15A,SNHG1,MYLIP,SNHG12,C6orf62,RPPH1,CLK1,NASP,ARRDC3,BRD2,RGS2,MCL1,PER1,TENT5C,NFKBIA,JUN,FIBIN,ATF3,HES1,MT1E,RBBP6,ARID4A,RGS16,NR4A2,OSR2,ZFP36L1,SGK1,SLC20A1,TRA2B,ID3,CSRNP1,TSPYL2,RSRC2"
Articular Cartilage,Hypertrophic chondrocyte,"WWP2,CRISPLD1,RNU6-2,RMRP,PLCG2,COL10A1,S100A1,IBSP,BHLHE41,VTRNA1-1,MEF2C,SCIN"
Articular Cartilage,Mesenchymal stem cell,"VCAM1,MCAM,ITGA11"
