Tissue,CT,Gene
Adrenal glands,Astrocytes,"S100B,SLC1A2,GFAP,BYSL,ALDH1L1,CD40,SLC1A3,FGFR3,GJB6,AQP4,HTRA1,S100A8,CLDN10,ITIH3,NKAIN4,ACSL6,ACSBG1,TRIL,AGT,GPR37L1,SLC4A4,NTSR2,SLC6A11,HSPA2,SLC16A2,SYNE1,DIO2,SLC7A10,ENTPD2,HSPB6,PLXNB1,LCAT,PLA2G7,CMTM5,S1PR1,SLC39A12,LUZP2,GSTA4,SLC25A28,SLC25A46,WNT3,FZD2,TEAD1,RLBP1,ALDOC,LCN2,SOX9,CCR7,AANAT,SOCS3,SYNM,HMG20A,NFATC3,SRR,SLC1A6,ETS1,SLIT1,SNPH,IL23A"
Adrenal glands,B cells,"CD2,CD5,MS4A1,CR2,CD22,FCER2,CD40,CD69,CD70,CD79A,CD79B,CD80,CD86,TNFRSF9,SDC1,TNFSF4,TNFRSF13B,TNFRSF13C,PDCD1,IGHD,IGHM,RASGRP3,HLA-DRA,LTB,HLA-DQA1,FLI1,CD14,SEMA6D,LAIR1,IFIT3,IGLL1,DNTT,MME,SPN,CD19,CD24,CD27,B3GAT1,CD72,MUM1,PAX5,JCHAIN,MZB1,LY6D,FCMR,BANK1,EDEM1,VPREB3,POU2AF1,CRELD2,DERL3,RALGPS2,FCHSD2,POLD4,TNFRSF17,HVCN1,FCRLA,EDEM2,BLNK,TXNDC11,BTLA,SMAP2,FKBP11,SEC61A1,SPCS3,SPIB,EAF2,CXCR4,BIRC3,IGLC2,IGLC3,IGLC1,IL21R,IGKC,VPREB1,LRMP,KLHL6,SLAMF6,FAM129C,BST1,MSH5,DOK3,BACH2,PXK,IGHG1,IGHG3,IGHG4,CD38,CCR7,CD55,TLR9,SWAP70,HMGA1"
Adrenal glands,B cells memory,"CD38,CD80,CD84,CD86,NT5E,PAX5,SPIB,ADAM28,AIM2,ALOX5,BACH2,BANK1,BLK,CCR6,CD180,CD19,CD1C,CD22,CD27,CD69,CD72,CD79A,CD79B,CLCA3P,CR2,CXCR5,DENND5B,FCGR2B,FCRL2,FRK,GNG7,GPR18,GUSBP11,HHEX,HLA-DOB,IFNA10,IGHD,IGHM,IGKC,IGLL3P,IL7,IRF8,LTB,LY86,MBL2,MS4A1,NMBR,NPIPB15,P2RX5,PNOC,PTPRCAP,RALGPS2,RASGRP2,SIK1,SIT1,SLC12A1,SP140,STAP1,TMEM156,TNFRSF13B,TNFRSF17,TRAF4,VPREB3,ZBTB32"
Adrenal glands,B cells naive,"CD19,CD2,CD72,IL2RA,MME,ABCB4,ADAM28,BACH2,BANK1,BCL7A,BEND5,BLK,BRAF,CD180,CD1C,CD22,CD69,CD79A,CD79B,CR2,CXCR5,EAF2,FCER2,FCGR2B,FCRL2,FRK,GPR18,GUSBP11,HHEX,HLA-DOB,IGHD,IGHM,IGKC,IGLL3P,IL4R,IRF8,LTB,LY86,MEP1A,MICAL3,MS4A1,NMBR,P2RX5,P2RY14,PNOC,PSG2,PTPRCAP,RALGPS2,RASGRP2,SELL,SIK1,SLC12A1,SPIB,STAP1,TCL1A,UGT1A8,VPREB3,ZNF286A,TNFSF8,MITF,HLA-DQB1,TNFRSF13C,LINC00926,STAG3,BIRC3"
Adrenal glands,Basal cells,"KRT5,KRT17,BCL2,KRT14,TP63,CDH3,KRT6B,METTL5,ANXA11,TMEM14A,BNIP3,TYMP,DPP7,OPTN,PLAU,CAPN1,BACE2,CTNNB1,ILK,PKP3,ITGA3,MT1L,SRSF4,RAB38,ALKBH7,DNPH1,KRT23,SLC16A3,GYPC,DUSP23,RARRES1,ITGA2,SLC25A37,GAPDHP1,ITGB6,ITGB4,SPHK1,ACTG2,IRF6,RAB13,LAMB3,ACADVL,MMP7,HEBP2,FBXO32,MT1E,MT2P1,SERINC2,NNMT,KRT15,PLP2,MT1X,S100A14,LAMC2,BMP7,MYLK"
Adrenal glands,Basophils,"CD69,IL3RA,CCR3,ENPP3,FCER1A,TLR4,LTC4S,CPA3,ITGAL,ITGAM,ITGAX,IL4R,ITGB7,IL4,MS4A2,MS4A3,HDC,GATA2,CCL3,CD33,CDH1,HTR1B,DNASE2B,FADS2,GPC4,GRM6,ACSS2,ADORA2B,AQP9,BACE1,BMP4,CABLES1,CCL4,CEBPA,E2F8,FADS1,FAR2,FBXO9,GPR183,HGF,HIST1H1D,HIST1H2AC,IFITM1,INF2,JAZF1,L1CAM,LAMA5,MBOAT1,NFIL3,NPL,OSBPL5,OTUB2,P2RY1,PDK3,PDZD4,PERP,PIGY,PLEKHG5,PLG,RNF39,SLC26A3,SLC26A8,SNCAIP,ST6GALNAC5,SUPT3H,TULP3,TEC,UNC93A,WRN"
Adrenal glands,Bergmann glia,"GFAP,GDF10,GJB6,GRIA4,GRM3,NTSR2,ITIH3,A2M,PTCH1,CDC42EP4,BTBD17,AQP4,SLC4A4,HOPX,GPR37L1,ACSBG1,ALDH1L1,SLC1A3,SLC1A2,S100B,TTC21B,HEPACAM,UFL1,NRXN3,ATP7A,BICD2,METRN,P2RX7,EGFR,GRIA1,P2RY1,GRIN2B,GRIN3A,SEPT4,DAO,KIF1BP"
Adrenal glands,Beta cells,"GCGR,JPH3,CD40,HAMP,EZH1,NTRK1,PDX1,SLC2A2,NKX6-2,FXYD2,NPY,INS,RIMS1,MAFA,EFNA5,LMX1A,NKX2-2,NKX6-1,PAX4,IAPP,PCSK2,G6PC2,SLC30A8,PCSK1,GJD2,SCGN,IGF2,SYT13,FFAR2,NPTX2,PFKFB2,EDARADD,HOPX,SH3GL2,ADCYAP1,SCGB2A1,CASR,MAFB,PAX6,NEUROD1,ISL1,TGFBR3,SMAD9,SIX3,SIX2,BMP5,PIR,STXBP5,DLK1,RGS16"
Adrenal glands,Cajal-Retzius cells,"RELN,DIABLO,ST3GAL5,ISOC1,SMOC2,DYNC1I1,NHLH2,CLSTN2,TMEM163,CACNA2D2,CIB2,NDNF,LINGO1,LNPK,RNF138,TMEM170B,ABCC5,CNRIP1,EBF3,FUT9,PABPN1,GNL3L,NUDT2,SLC25A46,NSMCE3,DACH1,FAM69B,HOMER2,MAP9,DNM3,LZTFL1,FSD1,TCEAL1,RAB11FIP2,BARHL2,TRIM44,SLC17A6,B3GALT1,SLITRK5,ERC2,NBEA,SLC25A36,ZDBF2,MAPK8,GDF5,ACHE,CCM2,WRAP73,NRG1,ATP13A2,CNTNAP2,PNOC,LHX1,LINGO2,FAT3,SRGAP3,CDH4,FLRT3,EDIL3,ZCCHC12,RALGPS2,FAM196A,SMAD1,TBR1,KCNH7,LHX5,CALB2,EMX2,ZIC2,WNT7B,AATF,NANOS1,TBCK,RGMB,DACT1,EOMES,CNR1,HAR1A"
Adrenal glands,Cardiac stem and precursor cells,"MYH6,WT1,TBX18,FUT4,KITLG,NKX2-5,ISL1,GATA4,ETV2,KIT,ABCG2,MESP1,BMP4,ADGRL2,TBX3,TBX4,WNT5A,ANKRD1"
