Tissue,CT,Gene
Brain,Astrocytes,"S100b,Slc1a2,Gfap,Bysl,Aldh1l1,Cd40,Slc1a3,Fgfr3,Gjb6,Aqp4,Htra1,S100a8,Cldn10,Itih3,Nkain4,Acsl6,Acsbg1,Tril,Agt,Gpr37l1,Slc4a4,Ntsr2,Slc6a11,Hspa2,Slc16a2,Syne1,Dio2,Slc7a10,Entpd2,Hspb6,Plxnb1,Lcat,Pla2g7,Cmtm5,S1pr1,Slc39a12,Luzp2,Gsta4,Slc25a28,Slc25a46,Wnt3,Fzd2,Tead1,Rlbp1,Aldoc,Lcn2,Sox9,Ccr7,Aanat,Socs3,Synm,Hmg20a,Nfatc3,Srr,Slc1a6,Ets1,Slit1,Snph,Il23a"
Brain,Bergmann glia,"Gfap,Gdf10,Gjb6,Gria4,Grm3,Ntsr2,Itih3,A2m,Ptch1,Cdc42ep4,Btbd17,Aqp4,Slc4a4,Hopx,Gpr37l1,Acsbg1,Aldh1l1,Slc1a3,Slc1a2,S100b,Ttc21b,Hepacam,Ufl1,Nrxn3,Atp7a,Bicd2,Metrn,P2rx7,Egfr,Gria1,P2ry1,Grin2b,Grin3a,Sept4,Dao,Kif1bp"
Brain,Cajal-Retzius cells,"Reln,Diablo,St3gal5,Isoc1,Smoc2,Dync1i1,Nhlh2,Clstn2,Tmem163,Cacna2d2,Cib2,Lhx1os,Ndnf,Lingo1,Lnpk,Rnf138,Tmem170b,Abcc5,Cnrip1,Ebf3,Fut9,Pabpn1,Gnl3l,Nudt2,Slc25a46,Nsmce3,Dach1,Fam69b,Homer2,Map9,Dnm3,Lztfl1,Fsd1,Tceal1,Rab11fip2,Barhl2,Trim44,Slc17a6,B3galt1,Slitrk5,Erc2,Nbea,Slc25a36,Zdbf2,Mapk8,Gdf5,Ache,Ccm2,Wrap73,Nrg1,Atp13a2,Cntnap2,Pnoc,Lhx1,Lingo2,Fat3,Srgap3,Cdh4,Flrt3,Edil3,Car10,Zcchc12,Ralgps2,Fam196a,Smad1,Tbr1,Kcnh7,Lhx5,Calb2,Emx2,Zic2,Wnt7b,Aatf,Nanos1,Tbck,Rgmb,Dact1,Trp73,Eomes,Cnr1"
Brain,Cholinergic neurons,"Chat,Slc18a3,Ache,Slc5a7,Tac1,Brca1,Acly"
Brain,Choroid plexus cells,"Ttr,Kl,Sostdc1,Clic6,Slc4a10,Htr2c,Aqp1,Slc16a2,Slc4a2,Slc4a5,Slc31a1,Car12,Cldn2,Slc13a4,Slc29a4,Prlr,Cldn1,Slc2a12,Wfikkn2,Slc23a2,Slc26a11,Chmp1a"
Brain,Dopaminergic neurons,"Th,Slc6a3,Foxa2,Kcnj6,Nr4a2,Lmx1b,Cacna2d2,Cadps2,Chrna6,Mapk8ip2,Ntn1,Prkcg,Tenm1,Zim3,Ddc,Slc18a2,Slc18a3,Neurod6,Smad3,Pitx3"
Brain,Ependymal cells,"Foxj1,Trim71,Six3,Usp18,Cetn4,Aqp4,Celsr2,Aqp1,Gfap,Enkur,Fam216b,Krt15,Catip,Dnah12,Fam166b,Iqcg,Spef2,Rabl2,Myo16,Odf3b,Plxnb2,Tekt1,Chek2,Crocc,Nme9,Cfap126,Meig1,Hspa2,Cfap65,Lrrc23,Tekt4,Calml4,Pifo,Crygn,Hdc,Fam183b,Pcp4l1,Dynlrb2,Tmem107,Riiad1,Tmem212,Rsph1,Ccdc153,S100b,Ak7,Rarres2,Pvalb,Angptl2,Cfap54,Stoml3,Pltp,Sspo,Efnb3,Myb,Rfx2,Zmynd10,Ak8,Cfap44"
Brain,GABAergic neurons,"Slc6a1,Gabbr2,Gad1,Pax2,Slc32a1,Gad2,Vip,Sst,Pvalb,Tnfaip8l3,Sema3c,Mybpc1,Parm1,Dlx1"
Brain,Glutaminergic neurons,"Slc17a7,Slc17a6,Grin1,Grin2b,Gls,Slc17a8,Slc1a1,Slc1a2,Slc1a6"
Brain,Glycinergic neurons,"Slc6a9,Slc32a1"
Brain,Immature neurons,"Pax6,Pclo,Cux2,Slc12a5,Pomc,Stim2,Rax,Cul5,Hivep2,Fut9,Tbr1,Prox1,Ntrk3,Rnd2,Fezf2,Sox5,Robo1,Epha7,Epha3,Yy2,Slc1a1,Notch3,Notch1,Lhx6,Nes,Rbfox3,Creb1,Neurod1,Ascl1,Ntrk1,Syn1,Nf1,Bcl2,Slc6a5,Foxd2,Icam5,Sstr2,Neurog2"
Brain,Interneurons,"Calb1,Cck,Chat,Vsx2,En1,Etv1,Evx1,Gad1,Isl1,Lhx1,Lhx5,Lhx3,Lhx6,Grm1,Npy,Oprm1,Grin2d,Nos1,Pvalb,Pax2,Sst,Tacr1,Vip,Crhr1,Pacsin1,Syn1,Fgf12,Nxph1,Syt7,Ptpro,Dlgap1,Gng4,Hap1,Shisa8,Pcbp3,Abat,Pcp4l1,Gal,Th,Synpr,Trh,Adcy8,Ctgf,Eml5,Tmem132d,Bace1,Cacng2,Isca1,Lpgat1,Nat14,Slc12a5,Deptor,Slc22a15,Pde4a,Cacna1i,Fryl,Car11,Surf1,Trim9,Kcnc1,Rab3b,Cdk17,Rgs17,Abcc5,Rab26,Vldlr,Cacng7,Inafm1,Brinp1,Pianp,Cplx1,Shisa6,Dhrs3,Gria4,Nrsn2,Cdhr1,Abr,Nrn1,Hivep2,Nxph4,Cdh4,Chst1,Shisa9,Eomes,Nmb,Ly6g6e,Caln1,Cask,Cacna1e,Fam81a,Camkv,Arhgap21,Ddn,Sv2b,Frrs1l,Acsl4,Camk4,Nptxr,Lingo1,Hpcal4,Lmo3,Lypd1,Chn1,Nrgn,Slc17a7,Camk2a,Prkcb,Ncald,Rab15,Fbxw11,Adcy1,Fbxo11,Igsf21,Srgap3,Ntng1,Magee1,Scamp1,Psd3,Rora,Dcaf7,Vgf,Eid2,Rgma,Scrt1,Pou2f2,Nbea,Srgap1,Fchsd2,Slc16a1,Slc36a1,Atg12,Slc17a6,Agap1,Zdhhc22,Acbd5,Aqp4,Tmem163,Zdhhc17,Kitl,Zic4,Nefm,L1cam,Ids,Dnm3,Dnajc6,Adgra1,Dzank1,Scn2b,Hspa12a,Syt13,Ramp3,Lynx1,Kcna2,Oxr1,Disp2,Pcsk2,Shox2,Scn8a,Aak1,Gabra4,Nrip3,Hlf,Prkcd,Ptpn3,Kcnc2,Cdkl5,Ccdc136,Kcnma1,Spock3,Ptpn4,Pdp1,Rgs7bp,Plcb4,Gabbr2,Elmo1,Adarb1,Ildr2,Akap8l,Spty2d1,Pcf11,Parm1,Pitx2,Pitx1,Cldn9,Tceal3,Kcnk9,Tshb,Rorb,Gata2,Timeless,Cxcl14,Apoc3,Ces1d,Cga,Adora2a,Rprml,Cacnb1,Kcnq5,Prkcg,Gabra5,Pax6,Pnoc,Htr3a,Reln,Calb2,Pde1a,Adgrl2,Kcnip2,Nov,Cpne5,Slc5a7,Crh,Gda,Sema3e,Dlx1,Dlx2,Dlx5,Arx,Ndnf"
Brain,Meningeal cells,"Foxc1,Foxc2,Bmp7,Zic1,Zic3,Aldh1a2,Alx4,Igf2,Vtn,Dcn,Lum,Pdgfra,Il33,Ptgds,Nov,Slc47a1"
Brain,Microglia,"Itgam,Itgax,C5ar1,Cx3cr1,P2ry12,P2rx7,Cd40,Trem2,Tmem119,Gpr34,Tff3,Cbr2,Zeb2os,Sall1,Csf3r,Tcirg1,Susd3,Gpr183,Vav1,Slc2a5,Il21r,Il10ra,Ptafr,Lag3,Il6ra,Entpd1,Adrb2,Tmem173,Tbxas1,P2ry6,P2ry13,Cebpa,Cd180,Myo1f,Fcrls,Olfml3,Siglech,S100a8,Ltc4s,Tgfbr1,S100a9,Lpcat2,Itgb5,Lair1,Sphk1,Colec12,Aldh1a2,Aebp1,Ptgds,Ccr5,Slco2b1,Ptgs1,Apbb1ip,Cyfip1,Cyth4,Mertk,Mafb,Hpgds,Bin2,Fcgr1,Cmtm6,Ccl4,Ccl3,Ccrl2,Ucp2,Clec3b,Mrc2,Clec10a,Pf4,Cts3,Fcgr3,Aif1,Csf1r,Ski,C1qb"
Brain,Motor neurons,"Isl1,Mnx1,Isl2,Chat,Vsx2,En1,Evx1,Evx2,Fgf1,Lhx3,Nkx6-1,Ngfr,Reg2,Sim1"
Brain,Neural stem/precursor cells,"Sox1,Prom1,Igf1r,Sp8,Gfap,Sox3,S100b,Slc1a3,Neurod4,Neurog1,Neurog2,Nhlh1,Ppp1r17,Tmtc4,Eomes,Plekhh2,Tlr3,Parp12,P2rx7,Inafm2,Isg15,Igfbp3,Ifit1,Ifi44,Mgat5,Pbk,Dlx2,Rnd3,Dlx5,Sp9,Pou3f4,Dynlt1c,Barhl2,Lhx9,Shox2,Dbx1,Dll3,Pitx2,Otx1,Arx,Nxph1,Tox3,Ascl2,Hes5,Hopx,Neurod1,Prss56,Sox9,Aldoc,Id4,Sox2,Dlx1"
Brain,Neuroblasts,"Ntng1,Tshz1,Sp9,Sp8,Prok2,Ascl1,Dll3,Sall3,Draxin,Erbb4,Trim32,Eomes,Cux2,Isl1,Phf1,Neurog1,Nkx6-1,Neurog2,Mapk7,Prokr2,Pou6f2,Itga6,Efna2,Cckar,Cckbr,Grm5,Dlx2,Mark2,Lrp8,Vldlr,Dab1,Epha4,Tacc3,Egfr,Sirt1,Neurod1,Scgn,Nes,Wt1,Zbed4,Pros1,Cnr1"
