Tissue,CT,Gene
Brain,Satellite glial cells,"Gfap,Ednrb,Bdkrb2,Tgfa,Epor,Tnf,Il6,Jak2,Sstr1,Slc6a1,Ptgds,Sox2,Cdh1,Kcnj10,Aqp4,Cnga3,Tlr4,P2ry12,P2rx7,Slc1a3,Il17a"
Brain,Schwann cells,"Mpz,Itgb4,Lamc1,S100b,Pou3f1,Gfap,Mag,Olig1,Tst,Ndrg1,Cthrc1,Nf2,Sept9,Agr2,Ngfr,Cldn19,Prx,Ntrk1,Art3,Bcas1,Npy,Aspa,Lgi4,Bag3,Rxrg,Sox10,Cmtm5,Bche,Egfl8,Gfra3,Sema3b,Matn2,Scn7a,Cd82,Tagln,Nov,Aldoc,Apod,Cadm4,Kcna1,Gpr37l1,Nrn1,Cd59a"
Brain,Serotonergic neurons,"Tph1,Slc6a4,Fev,Tph2,Ddc,Slc18a2,Esm1,Slc22a3"
Brain,Tanycytes,"Gpr50,Drd2,Dio2,Col23a1,Slc16a2,Lhx2,Slc17a8,Col25a1,Rax,Cd59a,Crym,Vcan,Frzb,Penk,Cacna2d2,Adm,Sprr1a,Scn7a,Fndc3c1,Mest,Igfbp5,Rgs7bp,Ctgf,Tgfb2"
Brain,Trigeminal neurons,"Crebrf,Prkx,Prdm12,Dhcr24,Calca,Calcb,Vwa5a,Prrxl1,Ppp1r1c,Avil,Pirt,Tac1,Prph,Scn9a,Rufy2,Fam189b,Clgn,Scn7a,Nefh,Gcnt2,Zdhhc2,Parm1,Ahnak2,Phf24,Kcnab2,Atl1,Hspb8,Fkbp1b,Tln2,Synm,Gdap1,Dgkz,Prune2,Slc17a6,Fgf13,Dgkh,Cpne3,Ccdc92,Sncg,Nicn1,Nefm,Rgs7bp,Add2,Piezo2,Vamp1,Scn10a"
Connective tissue,Adipocyte progenitor cells,"Cebpa,Egfr,Fgf10,Gsc,Mmp3,Pparg,Twist2,Gata3,Gli1,Smo,Stab1,Wisp2,Wt1,Scara5,Hoxc8,Tcf7l1,Hoxc9,Hoxc6,Hoxc4,Sult1e1,Ebf2,Nrg4"
Connective tissue,Adipocytes,"Slc36a2,P2rx5,Lep,Ucp1,Cidea,Prdm16,Lhx8,Epsti1,Mc2r,Ffar2,Pikfyve,Cyp11b2,Tlr2,Tlr4,Adrb1,Adrb2,Adrb3,Fabp4,Tnfrsf9,Tbx1,Tmem26,Tcf21,Adipoq,Cfd,Acvr1c,Slc2a4,Lpin1,Plin1,Pck1,Pparg,Retn,Mest,Adm2,Stat6,Tfe3,Cpped1,Appl2,Apol6,Pxmp2,Agt,Slc1a5,Acsl1,Car3,Bcat2,Pnpla2,Cidec,Cdo1,Apoc1,Mmp2,Postn,Lox,Col6a2,Zbtb16,Gulp1,Fzd4,Trip10,Fgf7,Maob,Socs1,Arnt,Sult1a1,Nnmt,Aoc3,H6pd,Cyp27a1,Ebf2,Mnda,Hsd11b1,Ar,Gdf10,Cyp1b1,Col5a3,Steap4,Ccl11,Nr1h3,Deptor,Cyth3,Fmo1,Acadsb,Xdh,Rspo3,Ptges,Creb3l1,Angptl2,Adam12,Adh1,Lbp,Nmb,Rarres2,Fst,Egfr,Cpxm1,C3,Adamts5,Timp1,Metrn,Metrnl,Myo1c,Nqo1,Syap1,Crnde,Aqp5,Azgp1,Lrp1,Pde3b,Lgals12,Serpinf1,Cpt1b,Elovl3,Ppargc1a,Mpzl1,Cited1,Dpt,Hoxc9,Esm1"
Connective tissue,Chondrocytes,"Prg4,Tnc,Crtac1,Creb3l2,Runx2,Acan,Col2a1,Comp,Matn3,Runx3,Sox6,Bmp2,Ctnnb1,Fgf18,Gli3,Pbx3,Pthlh,Smo,Stat1,Mmp13,Vegfa,Matn1,Col9a1,Col10a1,Igf2,Mia,Sdc3,Emp1,Col6a1,Cytl1,Lcn2,Lum,Scrg1,Hapln1,Col11a1,S100a9,Chad,Col9a3,Dlk1,S100a8,Chodl,Mgp,Vdr,Nog,Ager,Il10ra"
Connective tissue,Fibroblasts,"Il1r1,Fap,Fli1,Cela1,Lox,Pdgfrb,P4ha1,Ucp2,Ccr2,Ms4a4c,Itgal,Ear2,Fgr,Hck,Adgre4,Tnfrsf1b,Prkcd,Eno3,Cd209a,Abi3,Treml4,Ly6i,Pip4k2a,Cd300e,Serpinb10,Cthrc1,Tbx18,Col15a1,Gjb2,Il34,Edn3,Slc6a13,Vtn,Itih5,Lum,Dpt,Postn,Penk,Mmp14,Col6a2,Fabp4,Aspn,Angptl2,Efemp1,Scara5,Igfbp3,Copz2,Dpep1,Adamts5,Col5a1,Cd248,Pi16,Pamr1,Tnxb,Mmp2,Col14a1,Clec3b,Igfbp6,Akr1c18,Col5a2,Fbn1,Mfap5,Fkbp10,Palld,Wif1,Snhg18,Cdh11,Ptch1,Arap1,Fbln2,Igf1,Prrx1,Fkbp7,Oaf,Col6a3,Ctsk,Dkk1,Rarres2,Grem1,Spon2,Tcf21,Pcsk6,Col8a1,Entpd2,Mmp23,Cxcl3,Il6,Cyp1b1,Col13a1,Adamts10,Ccl11,Adam33,Col4a3,Col4a4,Lama2,Ackr3,Cd55,Fbln7,Fibin,Thbs2,Nov,Ptx3,Mmp3,Lrrk1,Hgf,Frzb,Col12a1,Col7a1,Meox1,Prg4,Pkd2,Ccl19,Nnmt,Foxf1,Has1,Ctgf,Ercc1,Wisp1,Twist2,Ripk3,Ddr2,Eln,Fn1,Hhip,Fmo2,Col1a2,Col3a1,S100a4,Nt5e,Col1a1,Mgp,Nox4,Thy1,Cd40,Pdgfra,En1,Dcn,Fosl2,Hif1a,Nfat5,Nfatc1,Nfkb1,Nr4a1,Nr4a2,Runx1,Stat3,Lamc1,Medag,Ms4a4d,Lamb1,Dkk3,Tbx20,Ngf,Vegfa,Fgf2,P4htm,Ckap4,Inmt,Cxcl14"
Connective tissue,Stromal cells,"Mmp2,Mmp9,Tlr3,Mme,Pecam1,Itga4,Itgav,Icam1,Vcam1,Kit,Pdgfra,Pdgfrb,Madcam1,B4galnt1,Tlr1,Tlr2,Tlr4,Cdh11,Calb2,Des,Mmrn2,Cd248,Fap,Lamc2,Sned1,Tnc,Lum,Col15a1,Gdf10,Bmp4,Wnt2,Bmp5"
Embryo,Epiblast cells,"Nanog,Pou5f1,Eras,Cdh1,Cldn6,Cldn7,Fgf15,Slc35d3,Tdgf1,Cxcl12,Lef1,Dpysl5,Ina"
Embryo,Hemangioblasts,"Etv2,T,Tal1"
Embryo,Trophoblast cells,"Cd4,Ttpa,Tnfrsf9,Star,Hopx,Adam19,Cyp24a1,Lif,Hand1,Elf5,Sirt1,Pthlh,Ackr2,Igf2,Cdx2,Krt7,Dlx3,Gcm1,Ascl2,Inhba,Mlana,Serpine1,Phlda2,Tfeb,Perp"
Embryo,Trophoblast progenitor cells,"Isg20,Foxo4,Tfap2c"
Embryo,Trophoblast stem cells,Tfap2c
Epithelium,Basal cells,"Krt5,Krt17,Bcl2,Krt14,Cdh3,Krt6b,Mettl5,Anxa11,Tmem14a,Bnip3,Tymp,Dpp7,Optn,Plau,Capn1,Bace2,Ctnnb1,Ilk,Pkp3,Itga3,Srsf4,Rab38,Alkbh7,Dnph1,Krt23,Slc16a3,Gypc,Dusp23,Rarres1,Itga2,Slc25a37,Itgb6,Itgb4,Sphk1,Actg2,Irf6,Rab13,Lamb3,Acadvl,Mmp7,Hebp2,Fbxo32,Serinc2,Nnmt,Krt15,Plp2,S100a14,Lamc2,Bmp7,Mylk"
Epithelium,Epithelial cells,"Ceacam1,St6gal1,Itgb4,Il1r1,Prom1,Cdh1,Krt1,Krt7,Muc1,Icam1,Krt14,Krt5,Itgal,Cd2,Itga5,Itga4,Itga2,Krt16,Scnn1a,Krt15,Itga1,Krt2,Scnn1b,Scnn1g,Bok,Nkd1,Fzd6,Dkk3,Nrp2,Kap,Sfrp5,Rai14,Defb1,Klk1,Agr2,Apoa1,Gpa33,Anpep,Cryba1,Bmi1,Brca1,Muc16,Ceacam5,Ctse,Scgb1a1,Exo1,Foxa1,Gabrp,Ggt1,Sfn,Krt13,Ltf,Slc46a2,Klk10,P2rx7,Cdkn2a,Cdh3,Psca,Ager,Zfp42,Sprr1b,Ttr,Tm4sf20,Tstd1,Sycn,Hbegf,Pigr,Prss32,Muc13,Selenbp1,Elf3,Muc3,Oit1,Tspan1,Guca2a,Phgr1,Lypd8,Lgals4,Gata2,Sec23b,Tspan8,Dlx5,Dgat2,Itpr2,Thrsp,Pla2g4a,Slc25a48,Pgr,Zfp322a,Fermt1,Zfp704,Ehf,Plekhs1,Cdkl1,Mecom,Msx1,Rnf128,Anln,Ckap2,Hmmr,Kif15,Ckap2l,Kif20b,Hirip3,Incenp,Kif23,Prc1,Ect2,Cxcl10,Ccl20,Cxcl17,Prg4,Alox15,F5,Emilin2,Saa3,Sprr2a1,Sptssb,Fmo5,Ivl,Vsig2,Aqp3,Paqr5,Cldn1,Ocln,Muc5ac"
Epithelium,Mesothelial cells,"Calb2,Muc16,Krt5,Krt6a,Des,Cdh1,Has2,Krt7,Me1,Me2,Msln,Thbd,Wt1,Lrrn4,Il17re,Lox,Oasl2,Kcnab1,Pkhd1l1,Sulf1,Dusp5,Mir22hg,Cobll1,St3gal1,Fbxo33,Fzd1,Rasl11a,Cdon,Bcl3,Ackr3,Npr1,Pcsk6,Dpp4,Rnd1,Gbp2,C1ra,Medag,Ar,Lgals7,Gstt1,Ano1,Gsta3,Osr1,Twsg1,Mmp23,Adgrd1,Crls1,Flnc,Ptgs2,C2,Fmo2,Fmod,Fgf1,Trim30c,Efemp1,Fras1,Rspo1,Rarres2"
Eye,Müller cells,"Tlr2,Il6,Cnr2,Vegfa,Slc38a5,Slc38a3,Il33,Rdh10,Slitrk2,Synpr,Abca8a,Crot,Crym,Car14,Col9a1,Six3os1,Dapl1,Aqp4,Rlbp1,Dkk3,Vsx2,Col1a1,Col2a1,Col3a1,Col4a2,Col5a1,Col6a1,Col11a1,Sox2,Gpr37,Kcnj2,Kcnj10,Spc25,Atg4b,Zbed4,Slc1a3,Kit,Crb1,Anxa4,Gstt1,Slc6a1,Sftpa1"
Eye,Photoreceptor cells,"Rcvrn,Pdc,Nrl,Nr2e3,Sag,Rho,Rom1,Crx,Pde6g,Tpbg,Gabra1,Pcbp3,Frmd3,Adamts5,Rd3l,Gabrg2,Cntn4,Rnf152,Syne1,Sebox,Hspa12a,Cntnap2,Nlk,Ntng1,Gls,Stx3,Grm6,Strip2,Chga,Rnpc3,Vstm2b,Cacna2d4,Vsx2,Trnp1,Neurod4,Gnb3,Otx2,Cacna2d3,Zfp365,Lin7a,Ccdc136,Ndnf,Gng13,Prox1,Gpr179,Cabp5,Kcnma1,Car8,Lrtm1,Prkca,Qpct,Cplx3,B3galt2,Isl1,Pcp2"
Eye,Retinal progenitor cells,"Pax6,Calb2,Six6,Rho,Six3,Nefh,Lgr5,Sag,Rax,Notch1,Msi1,Sox9"
GI tract,Crypt cells,"Kcne3,Kcnq1,Olfm4,Prom1,Lgr5,Ephb2,Ascl2,Bmi1,Hopx,Lrig1,Tert,Msi1,Smoc2,Tnfrsf19,Slc12a2,Axin2"
GI tract,Enteric glia cells,"Gfra3,Mpz,Lgi4,Rgs16,Aldh1a1,L1cam,Cxcl14,Dkk3,Ints6,Dhrs3,Sox10,Gfap,S100b,Nos2,Foxd3,Aldh1a3,Slc18a2"
GI tract,Enteric neurons,"Hivep3,Plekha5,Igf2bp3,Arhgap26,Ttbk2,Astn1,Cacna1e,Tub,Filip1,Gcnt2,Vezt,Ret,Ahdc1,Map6,Rgmb,Fbxo7,Ppp2r5b,Snx21,Fstl5,Lix1,Rgs3,Cyth3,Tshz1,Stxbp5,Atf5,Dmkn,Cacna1b,Pik3ca,Zdhhc2,Myl1,Eml5,Mfsd6,Scn7a,Arhgef28,Hand2,Vstm2l,Fam19a5,Efna5,Hoxb4,Tlx2,Golga7b,Slc18a3,Tox,Celf6,Gpr22,Plce1,Cyb561,Gfra2,Flot2,Slc7a14,Jph3,Casz1,Tac1,Scn3a,Chrna3,Parva,Slc10a4,Tm4sf4,Fam19a1,Slc5a7,Phox2b,Pirt,Hoxb5,Hoxa5,Gal,Cartpt,Nmu,Vip,Cck"
GI tract,Enterochromaffin cells,"Reg4,Afp,Slc18a1,Lmx1a,Trpa1,Fgf1,Piezo2,Adgrg4,Adm,Tph1,Crh,Gjb1"
GI tract,Enterocytes,"Gata4,Lypd8,Nlrp6,Krt20,Myo1a,Pparg,Slc15a1,Flot2,Apobec1,Plin3,Slc10a2,Slc40a1,Slc5a1,Npc1l1,Fabp1,Anpep,Cps1,Dpp4,Slc2a5,Alpi,Fabp2,Lct,Vil1,Clca4b,Fuom,Fahd1,Otc,Cdh17,Khk,Abhd11,Olfr77,Vdr,Ehf,Cdc42ep5,Defa24,Casp6,Hnf4a,Aqp1,Tmem45b,Rgmb,Pdha1,Cdo1,Elf3,Krtcap3,Degs2,Tmc4,Prss32,Ppp1r14d,Tm4sf5,Rnf186,Ceacam1,Klf5,Cdx1,Cdx2,Cldn15,Ascl2,Smoc2,Prr15l,Fbp2,Sdsl,Gkn3,Fermt1,Aldob,Muc13,Phgr1,Prap1,Ccl25,Lgals2,Spon2,Aspn,Ctrb1,Cd55,Cdh19,Slc35f1,G0s2,Gulp1,Nkd2,Col18a1,Sox10,Col20a1,Pmepa1,Gfra2,Art3,Slc26a2,Car1,Try4,Try5,Prss2,L1cam,Slc11a2,Slc26a3,Apoa1,Apoa4,Ephx2,Gstm3,Adh6a,Creb3l3,Mep1a,Fgf15,Muc3,Clec2h,Fabp6,Rbp2,Apob,Mttp,Slc2a2,Apoc3,Cd36,Reg3a,Isx,S100g,Slc28a1,Slc28a2,Slc30a10,Slc51b,Vnn1,Slc23a1,Treh,Abcc2,Abcg5,Dmbt1,Abcg8,Gsta1,Cybrd1,Abcg2,Nr1h4,Dab1,Tm6sf2,Nr5a2,Pdzk1,Acsl5,Aqp11,Aqp7,Aqp8,Hmox1,Slc39a5,Slc51a,Trpm6,Mogat2,Gls,Maoa,Dgat1,Dgat2"
GI tract,Enteroendocrine cells,"Npsr1,Ffar3,Scn3a,Neurog3,Ffar1,Arx,Nkx2-2,Sct,Cck,Gfra3,Vwa5b2,Neurod1,Scgn,Pcsk1,Isl1,Tac1,Rimbp2,Pax6,Gip,Glp1r,Pyy,Glp2r,Gast,Nts,Sst,Gpr119,Gcg,Chgb,Gal,Nucb2,Iapp,Ghrl,Chga,Trpa1,Enpp2,Afp,Vegfa,Ffar4,Mc4r,Insl5,Sstr2,Alcam,Tas1r2,Tas1r3,Gnat3"
GI tract,Foveolar cells,"Muc1,Anxa10,Muc5ac,Tff1,Foxq1,Sult1c2,Ptgr1,Gsdma2,Pla2g1b,Clps,Gsta1,Pgc,Sprr2a1,Tff2,Lgals2,Psca,Sprr2a3,Gkn2,Gkn1,Cldn18,Krt20,Lgals4,Akr1b10,Il33"
GI tract,Gastric chief cells,"Anpep,Bhlha15,Rab3d,Lep,Lgr5,Kcnq1,Egfr,Prkcz,Chrm3"
GI tract,Goblet cells,"Creb3l1,Nlrp6,Muc5ac,Muc2,Slc9a8,Otogl,Itln1,Aqp3,Cdon,Muc4,Muc5b,Tmem207,Tff3,Agr2,Cdx2,Krt7,Krt20,Muc3,Guca2a,Phgr1,Muc13,Fcgbp,Clca1,Zg16,Tpsg1,Galnt12,Atoh1,Rep15,Pdia5,Pla2g10,Klk1,Spdef,Lrrc26,Bace2,Ccl9,Spink4"
GI tract,Microfold cells,"Gp2,Spib,Pglyrp1,Ccl9,Ehf,Sox8,Mier3,Nfic,Cxcl16,Ccl20,Ccl6,Tnfaip2,Gjb2,Tmprss2,Ahr,Mtf1,Relb,Onecut2,Fosl2,Irf6,Irf2,Zfp553,Foxp4"
GI tract,Paneth cells,"Defa5,Mmp7,Agr2,Csf2,Pla2g2a,Prss1,Guca2b,Lyz1,Reg3b,Muc2,Clca1,Guca2a,Reg3g,Itln1,Retnlb,Ang4,Gpx2,Lgals2,Spink4,Fabp4,Cfd,Adipoq,Pnliprp2,Dmbt1,Nod2,Lgr4,Ripk2,Tlr5,Wnt3,Kcnn4,Atg16l1,Wnt9b,Dll4,Il4ra,Tlr9,Ctnnb1,Dll1,Tm4sf20,Defa23,Defa3,Defa26,Defa17,Mptx2,Defa21,Defa22,Defa24,Mptx1,Klf15,Defa20"
GI tract,Parietal cells,"Podxl,Kcnq1,Ptch1,Shh,Hip1r,Hamp,Kcne2,Hdc,Asap3,Slc12a6,Aqp4,Atp4b,Bmi1"
GI tract,Tuft cells,"Sucnr1,Fabp1,Pou2f3,Siglecf,Cdhr2,Avil,Espn,Lrmp,Trpm5,Tas1r3,Sox9,Camk2b,Gnat3,Il25,Plcb2,Gfi1b,Atoh1,Asic5,Klf3,Drd3,Nradd,Gng13,Ptgs1,Irf7,Ffar3,Alox5,Tslp,Il4ra,Il13ra1,Il17rb"
Heart,Cardiac stem and precursor cells,"Myh6,Wt1,Tbx18,Fut4,Nkx2-5,Isl1,Gata4,Etv2,Kit,Abcg2,Mesp1,Bmp4,Adgrl2,Tbx3,Tbx4,Wnt5a,Ankrd1"
Heart,Cardiomyocytes,"Tnnc1,Adm,Alcam ,Nppa,Fgf2,Nppb,Tnni3,Tnnt2,Ankrd1,Nppc,Des,Hand2,Hand1,Gata4,Gata6,Myl2,Nkx2-5,Pnmt,Acta1,Cd36,Rbm20,Vldlr,Alpk3,Rbm24,Fabp4,Ckmt2,Speg,Myh7b,Myom2,Myom1,Cox8b,Pdlim5,Myh7,Pln,Tcap,Sorbs2,Ryr2,Obscn,Actc1,Myl3,Coro6,Pde4d,Nexn,Mhrt,Fhl2,Mybpc3,Myh6,Ttn,Gpihbp1,Aqp1,Dmd,Mfn2,Asb2,Art3,Rrad,Adprhl1,Jph2,Pygm,Hspb7,Myoz2,Eno3,Trdn,Actn2,Tnni1,Smpx,Myl7,Tbx20,Trim63,Mb,Ctgf,Myl4,Lox,Ctnnb1,Cpt1a,Sox18,Notch1,Sln,Csrp3,Txlnb,Ckm,Cxcr4,Mitf,Zfpm2,Bdnf,Gja5,Fmod,Mttp,Slc5a1,Adipoq,Trpv1,Hamp,Sgpl1,Stc1,Fgf23,Strn,Hey2,Adipor2,Pde1a,Bmp4,Casq2"
Heart,His bundle cells,"Gja5,Gjc1,Kcnk3"
Heart,Purkinje fiber cells,"Gja5,B3gat1,Gjc1,Kcnk3,Nefm"
Immune system,B cells,"Cd2,Cd5,Ms4a1,Cr2,Cd22,Cd40,Cd69,Cd70,Cd79a,Cd79b,Cd80,Cd86,Tnfrsf9,Sdc1,Tnfsf4,Tnfrsf13b,Tnfrsf13c,Pdcd1,Ighd,Ighm,Rasgrp3,Ltb,Fli1,Cd14,Sema6d,Lair1,Ifit3,Igll1,Dntt,Mme,Spn,Cd19,Cd27,B3gat1,Cd72,Mum1,Pax5,Jchain,Mzb1,Ly6d,H2-dmb2,Fcmr,Bank1,Edem1,Vpreb3,H2-ob,Pou2af1,Creld2,Derl3,Siglecg,Ralgps2,Fchsd2,Pold4,Cmah,Tnfrsf17,Hvcn1,Trp53inp1,Fcrla,Edem2,Blnk,H2-oa,Txndc11,Btla,Smap2,Scd1,Fkbp11,Sec61a1,Spcs3,Spib,Eaf2,Cxcr4,Birc3,Iglc2,Iglc3,Iglc1,Il21r,Igkc,Iglv1,Vpreb1,Vpreb2,Lrmp,Klhl6,Slamf6,Fam129c,Bst1,Msh5,Dok3,Bach2,Fcer2a,Pxk,Ighg1,Ighg3,Igha,Cd38,Ccr7,Cd55,Tlr9,Swap70,Hmga1"
Immune system,B cells memory,"Cd38,Cd80,Cd84,Cd86,Nt5e,Pax5,Spib,Adam28,Aim2,Alox5,Bach2,Bank1,Blk,Ccr6,Cd180,Cd19,Cd22,Cd27,Cd69,Cd72,Cd79a,Cd79b,Cr2,Cxcr5,Dennd5b,Fcgr2b,Frk,Gng7,Hhex,Ighd,Ighm,Igkc,Il7,Irf8,Ltb,Ly86,Mbl2,Ms4a1,Nmbr,P2rx5,Pnoc,Ptprcap,Ralgps2,Rasgrp2,Sik1,Sit1,Slc12a1,Sp140,Stap1,Tmem156,Tnfrsf13b,Tnfrsf17,Traf4,Vpreb3,Zbtb32"
Immune system,B cells naive,"Cd19,Cd2,Cd72,Il2ra,Mme,Abcb4,Adam28,Bach2,Bank1,Bcl7a,Bend5,Blk,Braf,Cd180,Cd22,Cd69,Cd79a,Cd79b,Cr2,Cxcr5,Eaf2,Fcgr2b,Frk,Hhex,Ighd,Ighm,Igkc,Irf8,Ltb,Ly86,Mep1a,Mical3,Ms4a1,Nmbr,P2rx5,P2ry14,Pnoc,Ptprcap,Ralgps2,Rasgrp2,Sell,Sik1,Slc12a1,Spib,Stap1,Ugt1a8,Vpreb3,Tnfsf8,Mitf,Tnfrsf13c,Stag3,Birc3"
Immune system,Basophils,"Cd69,Il3ra,Ccr3,Enpp3,Fcer1a,Tlr4,Ltc4s,Cpa3,Itgal,Itgam,Itgax,Itgb7,Il4,Mcpt8,Prss34,Ms4a2,Ms4a3,Hdc,Gata2,Ccl3,Cd33,Cdh1,Htr1b,Mrgpra6,Dnase2b,Fads2,Gpc4,Grm6,Acss2,Adora2b,Alox8,Aqp9,Bace1,Bmp4,Cables1,Ccl4,Ccl9,Cebpa,Defb40,E2f8,Fads1,Far2,Fbxo9,Gpr183,Hgf,Hist1h1d,Hist1h2ac,Ifitm1,Inf2,Jazf1,L1cam,Lama5,Mboat1,Nfil3,Npl,Nt5c3,Osbpl5,Otub2,P2ry1,Pdk3,Pdzd4,Perp,Plekhg5,Plg,Rnf39,Slc26a3,Slc26a8,Sncaip,St6galnac5,Tulp3,Tec,Unc93a,Wrn"
Immune system,Dendritic cells,"Il6,Cd86,Cd83,Cr2,Tlr9,Lamp3,Trem2,Fabp4,S100a9,Arg1,Clec10a,Dnase1l3,Clec9a,Etv6,Cd163,Cxcr4,Vsig4,Nr4a3,Ccr7,Traf1,Relb,Batf3,Ccl22,Slamf7,Xcr1,H2-dma,Cxcl16,Scimp,Fcgr2b,Fgd2,Rab7b,Naaa,Hck,Cd180,Retnla,Hfe,Ccr2,Ryr1,Itgae,Sema4a,Dpp4,Slamf8,Cxcr3,Btla,Flt3,Tlr3,H2-m2,Itgax,Gpr132,Adam19,Ap1s3,Ass1,Adgrg5,Gpr68,H2-eb2,Kit,Klri1,Kmo,P2ry10,Rab30,Sept6,Zbtb46,S100a4,Clec7a,Aif1,Lst1,Cd209a,Cd209b,Irf8,H2-ab1,Adgre1,Ccl17,Cd14,Cd207,Cd8a,Cx3cr1,H2-eb1,Itgam,Ly75,Pdcd1lg2,Sirpa,Axl,Ppp1r14a,Cd22,Dab2,S100a8,Vcan,Fcer1a,Camk2d,Napsa,Plbd1,Rnase6,Ifitm6,Ear2,Slc11a1,Pdpn,S100b,Cd28,Ppl,Slurp1,Serpinb9"
Immune system,Eosinophils,"C3ar1,Fut4,C5ar1,Cxcr3,Ccr1,Ccr3,Cd244,Ptgdr2,S100a9,Pglyrp1,Ltc4s,Ear1,Ear2,Epx,Cd69,Il5,Prg2,Prg3,Cpa3,Ikzf2,Ccl11,Ccl5,Csf2,Il5ra,Siglecf"
Immune system,Gamma delta T cells,"Ptgds,Gzmb,S100b,Nkg7,Prf1,Hopx,Cst7,Klrd1,Ctsw,Spon2,Ifitm1,Gzma,Cd247,Clic3,Cd7,Adgrg1,Ccl5,Trdc,Tyms,Mki67,Ube2c,Aspm,Cenpa,Aurkb,Nusap1,Troap,Cenpf,Ccnb1,Trgv2,Trgj1,Trgj2,Trdd1,Trdd2,Trdj1,Trdj2,Trdv1,Trdv3"
Immune system,Macrophages,"Itgal,Itgam,Cd14,Fut4,Cd33,Cd80,Cd86,Cd163,Ccr5,Tlr2,Tlr4,Adgre1,Gpr34,Ccl9,Trem2,Fabp4,S100a8,Wfdc17,Cpm,Chit1,F13a1,H2-dma,Cx3cr1,Cxcl16,Tgfbr1,Slamf9,Mgl2,Scimp,Lilra5,Clec4a2,Ccl12,Cd83,C3ar1,Stab1,Mrc1,Parp14,Fgd2,Fcgr1,Rab7b,Rbpj,Slco2b1,Naaa,March1,Egln3,Fgl2,Ccl6,Gpnmb,Clec4d,Adam8,Arl11,Mmp12,Lyve1,Pltp,Vsig4,Ms4a4a,Fpr1,Cd180,Retnla,Gdf15,Rab20,Hfe,Tnf,Ccr2,Snx20,Cd209a,Fmnl1,Gpr132,Slamf7,Nceh1,Ccl24,C5ar1,Cd300a,Cxcl2,Ccl7,Ccl2,Il1b,Irf5,Ahr,Myo1g,Dusp5,Gpr171,Ccr7,Dnase1l3,Cxcl1,Samsn1,Nr4a3,Ccl22,S100a4,Mmp9,Hilpda,Nrp2,Slc37a2,Ctsk,Cd36,Lpcat2,Hpgds,Ifnar2,Ms4a7,Slc11a1,Hpgd,Ccl3,Clec7a,Cd5l,Lilr4b,Ccl5,Cyth4,Clec4n,Cd209f,Cd3e,Cd19,Lyz1,Csf1r,Cd68,Ucp2,Treml4,Fgr,Cybb,Cd200r1,Gata6,H2-ab1,H2-eb1,Il4ra,Itgax,Ly6c1,Pparg,Siglecf,Rgs1,Dab2,P2ry6,Maf,Aif1,Clec10a,Adgre4,Adgre5,Clec4a3,Clec4a1,Slc15a3,Akr1b3,Cyp27a1,Slc7a7,Runx3,Syk"
Immune system,Mast cells,"Kit,Enpp3,Il2ra,Il17a,Crh,Hsd11b1,Cd274,Cxcr2,Cxcr4,Ccr3,Ccr5,Ltc4s,Gpr34,Mgst2,Ache,Cpa3,Cpa1,Cma1,Hnmt,Tpsab1,Ptgds ,Cfp,Rab27b,Atp8b5,Sla,Il1rl1,Csf2rb2,Gnai1,Cfd,Osbpl8,Adora3,Hs3st1,Csf2rb,Dapp1,Slc6a4,Maob,Lilr4b,Csrnp1,Cyp11a1,Rgs1,Mrgprb2,Plek,Mrgprb1,Hdc,Mcpt4,Tpsb2,Tph1,Cd55,Cd200r3,Rgs13,Tpsg1,Socs1,Btk,Il4,Ms4a2,Vwa5a,Fcer1a,Mcemp1,Milr1,Ccl2,Cma2,Creb3l1,Ednra,Hs6st2,Kcne3,Mcpt9,Mrgpra4,Mrgprx2,Olfr920,Plau,Adamts9,Chst1,Cobl,Ctsg,Dnm3,Fam198b,Grik2,Hpgds,Hs3st3a1,Papss2,Pcbd1,Pcp4l1,Rnf128,Serpinb1a,Slc29a1,Slc45a3,Stard13,A4galt,Acer3,Armcx3,Atl2,Bbs10,Bmpr2,C2,Car13,Ccdc141,Ccl7,Cdc42bpa,Cdh9,Copz2,Mcpt2,Zfp9,Zfp521,Zdhhc13,Wdr60,Unc13b,Trank1,Tiam2,Tcf7l1,Stk32b,St6galnac3,Socs2,Spred1,Smpx,Smarca1,Slc7a5,Slc4a4,Slc31a2,Sgce,Ror1,Rnf180,Rbfox1,Rapgef2,Pde1c,Pcdh7,Optn,Olfr918,Olfr917,Olfr915,Oaf,Neo1,Ndst2,Nceh1,Mt2,Mrgprx1,Mlph,Mitf,Lrrc66,Lima1,Krt4,Kdelr3,Ids,Hspa13,Hs2st1,Gp1ba,Gnaz,Fam84a,Fam129b,Ext1,Esyt3,Eno2,Dgki,Ddc,Dclk3"
Immune system,Megakaryocytes,"Itga2b,Gp1ba,Itgb3,Mpl,Lat,Plek,S100a9,S100a8,Pf4,F13a1,Epor,Cxcr4,Gp5,Cxcr1,Cxcr2,Slamf1,Pde6b,Matk,Spon2,Mkl2,Tlr9,Gata1,Fli1,Prox1,Syp,Tspan9,Rgs18,Treml1,Gata2,Vwf,Alox12,Selp,Nfatc1,Plk3,Mafg,Il2ra,Pecam1,Pparg,Il6,Il21r,Lrp1,Ache,Vegfa,Gp9"
