Tissue,CT,Gene
Adipose tissue,Schwalie et al.Nature.G2,"Fmo1,Serf1,Tcf12,Lpl,Rassf2,Penk,Tcf4,Cd36,Plin2,Tpbg,Gpr153,Fscn1,Fhl2,Tpm2,Spop,Snhg18,Btg1,Alx4,Enpep,Adam23,Scg3,Col1a1,Sat1,Ptms,Rrbp1,Tmem119,Sh3bgrl3,Lrrc15,Myo1b,Peg3,Col18a1,Sparcl1,Fkbp9,Pear1,Pofut2,Fbln7,Slc9a3r2,Ssr2,Clmp,Tusc3,Pebp1,Cdh11,Mmp19,Nr2f2,Ednra,Col13a1,Egflam,Col15a1,Rcn1,Epas1,Psap,Siva1,Ptprs,Gsto1,Gpm6b,Btg2,Cald1,Col6a2,Noct,Igsf3,Lama2,Crtap,Arid5b,Csnk1a1,Pth1r,Colec12,Pdgfrb,Adamts12,Frem1,Emilin1,Ccnd2,Eid1,Ddx3x,Col5a3,Col4a2,Plekha6,Slit2,Mfap2,Fabp4,Mafb,Dipk1b,Agap1,Txndc5,Ech1,Lix1l,Marcksl1,Eva1b,Nrep,Fkbp10,Col5a2,Apbb1ip,Cotl1,Acot7,Calm3,Rhob,Sgk1,Adgra2,Ldhb,Enpp2,Idh2,Mmp14,Bmper,Tmed9,Rcn3,Abca8a,Nxph3,Adgrl1,Egr2,Anxa5,Ldha,Scarf2,Fus,Gna12,Enah,Lgals1,Cthrc1,Adam12,Col3a1,Vwa1,Palld,C1qtnf12,P3h1,Lbh,Sdc1,Ifi27,Auts2,Creg1,Ckap4,Tubb5,Serpine1,Mme,Pgrmc1,Tceal9,Abracl,Gadd45b,Hmcn1,Lamb1,Kdelr3,Rgs2,Clk1,Postn,Tpm4,Cacna1g,Slc25a51,Hspg2,Mettl9,Ivns1abp,Frmd4b,Srpx,Rbm39,Gria3,Mdk,Map4k4,Dpysl3,Hc,Aoc3,Neat1,Mrfap1,Ctsk,Angpt2,Fgf10,Col27a1,Fam102b,Gucy1a1,Gsc,Map2,Hmgn1,Ccdc50,Tagln,Itm2a,Angptl2,Rnf144a,Angptl4,Itga2b,Tagln2,Timp1,Nxn,Lmna,P3h3,Ifngr2,Col4a1,Col1a2,Gng11,Ptger3,Rbp1,Rnf149,Lum,Arhgap32,Sh3pxd2a,Phlda3,Gas1,Myl12a,Cd63,Irs2"
Adipose tissue,Schwalie et al.Nature.G3,"Serp1,Lrp6,Lmo1,Tnfsf13b,Ntf3,Tmeff2,Tmem106a,Acvr2a,Gstm2,Klf5,Syne1,Rpl3,Adh1,Mycbp2,Fxyd6,Map1lc3a,Cryab,Cyp2f2,Epha3,Podn,Cebpb,Ecm2,Pros1,S100a4,Gbp7,Dusp1,Cox7a2,Ifitm1,Ppp1r15a,Sned1,Lsamp,Socs3,Pcolce,Slco2b1,Cxcl16,Gask1b,Abi3bp,Mgst3,Sra1,Olfml3,Tmem176b,Cd81,Bri3,H3f3b,Cygb,Atp6v0e,Pim1,Usp53,Apoe,Cstb,Il6st,Cav1,Hk2,Mmp3,Srsf7,Dcn,Gsn,Gm10925,Eif1,Slc29a1,Zhx3,Rspo1,Gem,Clec11a,Deptor,Ldb2,Tex264,Tspan11,Cp,Igfbp7,Ssbp2,Sec61g,Arhgap15,Fth1,Gdf10,Myd88,Cyp1b1,Ier2,Gabra3,Usp25,Cisd1,Jund,Igf1,Klf13,Egr1,Nmb,Mid1ip1,Shox2,Tm2d2,Myc,Il17d,Fmo2,Ddost,Oat,Cd302,Id4,Casp4,Ccdc59,Tspan17,Erp44,Mrpl12,Med28,1810037I17Rik,Mbd1,Ccnl1,Lhfp,Hspb2,Cd9,Sap18,Bhlhe40,Armh4,Vit,Tnrc6c,4930523C07Rik,Inmt,Ndrg2,Ppl,Mt1,Ppp3ca,Cfh,Uap1l1,AW112010,Icam1,Ftl1,Cxcl12,Nrip1,Vtn,Igfbp3,Il1r1,Rgs16,Med8,Pik3r1,Ndn,Trim47,Gas6,Acp5,Cd44,Maged2,Dnajb1,Spock2,Fam13a,Rab11b,Il11ra1,Pfdn2,Adcyap1r1,Cebpg,Xbp1,Entpd2,Junb,Mgp,Cst3,Cpe,Fgf7,Rpl22l1,Nrp1,C2,Selenop,Ccl19,Rbms3,Gpnmb,Dock9,Mpst,Steap4,Kitl,Osmr,Ranbp1,Cxcl1,Ghr,Il6,Arhgdib,Naalad2,Klf9,Ifitm2,Zfp36,F3,Bgn,Prdx1,Cyp7b1,Ftl1-ps1,Ogfrl1,Meox2,Ndufb6,Eif4ebp1,Tmem176a,Ifi207,Dbi,Jun,Fbxo6,Eif4e3,Pid1,Osr1,Gabarapl1,Emp2,Atp1a2,Sdc2,Tgfbi,Ifngr1,Nfib"
Adipose tissue,Schwalie et al.Nature.G4,"Stat2,Tor3a,Stat1,Rnase10,Tmem158,Akr1c18,Jak1,Gng12,Gpx3,Rps12-ps3,Psmb10,Gapdh,Rps20,Ntrk2,Isg15,Ly6c1,Slirp,Oas1a,Ptpn5,Rps12,Lbp,Ifi211,Thbd,Aldh1a1,Rps26,Vegfd,Adgrd1,Adamtsl1,Gja1,Slco3a1,Rpl24,Carhsp1,Cd34,S100a16,Akr1c14,Ly6e,Tspo,Phf11d,Plod2,Il6ra,Il17ra,Psme2,Rpl32,Tgfbr2,Plscr2,Bmp8a,Rtp4,Anxa3,Anxa1,Usp18,Samhd1,Pnp,Errfi1,Atp1a1,Sp110,Thbs2,Ppp1r14b,Rpl11,Tmod1,Rpl18,Psme1,Rps10,Zbp1,St3gal1,Triobp,Lgals9,Cd164,Rps25,Pnp2,Gan,Rps18,Ifi203,Fbln2,Irf7,Ms4a4d,Ackr3,Tgfb2,Rplp2,Rpl37,Ramp2,Mrpl33,Cycs,Rps19,Loxl1,Spon2,Ifi204,Fbxw17,Sp100,Slfn2,Raly,Npc2,Ogn,Higd1a,Rps13,Txn1,Gda,Gcsh,Cxcl13,Rps2,Il18,Pgr,G6pdx,Il1r2,Selenow,Rps24,Nqo2,Fxyd5,Ccn1,Znhit6,Eif2ak2,Gbp2,Igfbp6,Ccn5,Rbpms,St3gal5,H2-T23,Aff3,Iigp1,Ngfr,Lmo2,Ube2l6,Rpsa,Eef1g,Timp3,Ifit3,Lgals3bp,Rps15a,C4b,Ifitm3,Arsi,Rps17,Irgm1,Psmb8,Il4ra,Rnaset2a,Rpl13,Micos10,Uqcc2,Rpl27a,Prdx5,Gbp3,Tgm2,Rpl35,Kdr,Cd248,Spon1,Ran,Rpl36al,Cavin3,Dynll1,Ifit1,Rps27l,Eln,Nampt,Actg1,Rplp1,Xaf1,Dnaja1,Atp6v1e1,Axl,Serpinb6a,Ly6a,Efhd1,Smap1,Trim30a,Irf4,Rpl23a,Csf1,Mndal,Pals2,Rps8,Ifi27l2a,Socs2,Greb1,Rps27a,Phf11b,Apol9a,Rnf213,Bst2,Tmem45a,Ppa1,Pla1a,Fbn1,Rps6,Ifi205,Rpl39,Rpl21,Plac8,Mettl7a1,Gadd45g,Ankrd46,Hsp90aa1,Rpl27,Hspe1,Ifi35,Cd320,Bola3,Rpl36,Oasl2,Rpl19"
Adipose tissue,Schwalie et al.Nature.P1,"Osr2,Rps20,Fndc1,Islr2,Cadm3,Akr1c18,Tmem158,Nin,Itga11,Akr1c14,Clip1,Dpt,Krt19,Loxl1,Anxa3,Klf3,Rps7,Cd248,Vgll3,Epdr1,Adgrd1,Ehd1,Pi16,Ackr2,Xpnpep2,Clip4,Tgfbr2,Efna5,Rps11,Fhl1,Rps19,Rpl14,Dbn1,Rpl18a,Sfrp4,Col14a1,Qpct,Rps9,Rps15a,Cd55,Rpl23a,Tmsb4x,Slc34a2,Pcdh20,Tmem100,Marcks,Gan,Kcnk5,S100a11,Rps26,Rpl9,Mustn1,Gpx3,Rps23,Kank1,Crispld1,Fez1,Thbs2,Edn1,Car8,Nhsl1,Zfp385a,Pdpn,Myh10,Galnt16,Iqsec1,Zyx,Ly6c1,Procr,Rps14,Ugdh,Rps18,Scara3,Rps4x,Il18,Ace,Steap3,Sdf2l1,Disp1,Adamts16,Igfbp5,Rpl30,Pcolce2,S100a13,Aif1l,Thbd,Sbsn,Il13ra1,Rps10,Rpl17,Il1r2,Mir703,Sulf1,Prkca,Ildr2,Rpl13,Rpl41,Lurap1l,Notch2,Il33,Plau,Igfbp6,Scara5,Rps25,Plce1,Cxcl13,Ano3,Rps2,Ogn,Pcsk6,Rab38,Rps3a1,Anxa1,Irak4,Clec3b,Rhoa,Metrnl,Htra3,Duoxa1,Rpl37a,Rbpj,Heg1,Mfap5,1700019D03Rik,Limch1,Sytl2,Rab32,Dmrt2,Rps29,Aldh1a3,Tek,Poglut3,Rps8,Slco3a1,Rps27,Sod3,Rpl31,Pgd,Rpl32,Gda,Rps24,Rpl19,Calr,Pla1a,Sema3c,Rpl35,Axl,Carhsp1,Fn1,Rpl37,Rps12,Basp1,Rps17,Islr,Prrx1,Ifi27l2a,Emx2,Calcrl,Plpp3,Pgr,Lrrn4cl,Mgll,Ackr3,Serpinb6a,Dpp4,Plac8,Efhd1,D17H6S53E,Rpl36,Fau,Trio,Fbn1,Stxbp6,Irf2,Rpl39,Anks1,Ly6a,Eln,Smpd3,Opcml,Rps28,C3,Rpl21,Gnpnat1,Fgf2,Creb5,Hdac7"
Adipose tissue,Schwalie et al.Nature.P2,"Egfr,Heph,Adamts12,Gnl3,Pi4k2a,Sde2,Col5a2,Mdk,Trib1,Noct,Anxa5,Col6a3,Ubb,Btg2,Cfap20,Gpm6b,Arid5a,Sema5a,Sat1,Slc9a3r2,Atp6v1b2,Igbp1,Pear1,Thbs1,Azin1,Stx3,Fnip1,Tcf7l2,Enpep,Myo1b,Sparcl1,Gucy1b1,Bmper,Map4k4,Fabp4,Usp3,Lpl,Col4a1,Col15a1,Col18a1,H2-Q4,Egr1,Egr2,Cyth3,Ror2,Ivns1abp,Col6a1,Dock1,Postn,Atf3,Csad,Pros1,Lamb1,Ptprs,Lpin1,Slc5a3,Eri3,Hmcn1,Plekha6,Cox16,Enpp2,Tbc1d15,Nup98,Ror1,Tbx3,Phykpl,Eprs,Icam1,Top1,Hmgcr,Frem1,Sfpq,H3f3b,Srgap3,Calu,Arhgap17,Col5a3,Gpbp1,Ier5,Ermp1,Spry4,Pparg,Tob2,Extl3,Mafb,Pcsk5,Ggt5,Chd1,B930095G15Rik,Dnajb4,Frmd4b,Peg3,Ubc,Slc38a2,Epas1,Jazf1,Ddit3,Plin2,Nfat5,Angptl2,Lysmd2,Casp4,Ldha,Slc35a3,Cxcl1,C230071H17Rik,Gpc1,Nrep,Idh1,Slc31a1,Col6a2,Usp9x,Med13,Mir22hg,Cacna2d1,Tmem47,Mme,Fscn1,Sec24a,Gadd45b,Klf6,Ddx3x,Dpysl3,Slit2,Alx4,H2-D1,Auts2,Nop58,Tnfaip6,Ptpn12,Tpm3,Angptl4,Nfkbia,Rapgef6,Tanc1,Btg1,Sgk1,Trabd2b,Sdc1,Hes1,Lamc3,Ppp3ca,Cald1,Itm2a,Sertad1,Col4a2,Csnk1a1,Fbln7,Fgf10,Tnfaip3,Col3a1,Adam12,Scg3,Sh3pxd2a,Dhx58os,Aoc3,Cdh11,Hc,Prkcb,Zfp655,Zfp36,Fosb,Rny3,Gucy1a1,Enah,Srsf3,Dclk1,Mndal,Rnf144a,Mgst1,Zfand5,Palld,Irf1,Ccl2,Pde3a,Homer1,Smc4,Hspg2,Eif1a,Gm16263,Ptbp2,Gria3,Ifrd1,Neat1,Emb,Irs2,Itih5,Sgpl1,Cyp4b1,Cd63,Thsd1,Xist"
Adipose tissue,Schwalie et al.Nature.P3,"Chd8,Grem2,Adamtsl5,Bace2,Ccbe1,Tnfsf13b,Rce1,Egflam,Pltp,Arl8b,Igsf3,Tmem204,Zmpste24,Prickle1,Ubl3,Pdgfrl,Arhgap44,Lgals8,Nr1d1,Usp22,Cxcl12,Bace1,Epha3,Vps53,G0s2,Aox1,Nr2f2,Adamtsl3,Ctsl,Ephb2,Lmo7,Tpp1,Fgd5,Ccdc152,Vit,Gpc3,Fbxo11,Svep1,Psmd2,Itpr1,Gabra3,Ecm2,Abcg1,Apod,Susd2,Ntn1,Olfml3,Gsn,Gm36535,Cpz,Ank2,Ptch2,Cryab,Kcnt2,Slco2b1,Deptor,Cxcl16,Serpina3n,Igfbp7,Tgfb3,Fbln1,Ralgps2,Steap4,Abi3bp,Gcc1,Ecm1,Serpinf1,Cttnbp2,Galnt15,Lamb2,Ifitm1,Ampd3,Meox2,Arrb1,Wfdc1,Cd9,Ikbip,Rab34,Med16,Cav2,Scarf2,Sms,Serping1,Prnp,Crispld2,Armh4,Mpp1,Mfap1a,Clec11a,Ltbp4,Ndrg2,Olfml1,C2,Cav1,Dkk3,Ndufb6,Pmm1,Slc48a1,Nfib,Cdh13,Adh1,Il6st,Enpp5,Tent5c,Gli1,C7,Tspan11,Cp,Cltb,Ahnak,Nmb,Add3,Snord13,H2-T23,Gdf10,Cpxm2,Sord,Fmo2,Oat,Timp1,Ghr,Znrf3,Gm21917,Cst3,Slc41a1,Cygb,Nrp1,Fth1,Litaf,Dcn,Kctd12,Apoe,Stard13,Rspo1,Lum,Cgnl1,Pde5a,Dapk1,Garre1,Arhgdib,F3,Bgn,Hhip,Tspan18,Fth1-ps,Tmtc1,S100b,Cd302,Olfml2b,Wnt5a,Selenop,Gm2a,Abcc9,Smtn,Hgf,Gas6,Fgl2,Sgcb,Fam50a,Sema3d,Nucb2,Dtx4,Alpl,Kitl,Ndufa4l2,Gpnmb,Dock9,Tpbgl,Cpe,Akap13,Fuca1,Mamdc2,Cdc42bpa,Adcyap1r1,Spock2,Clu,Ms4a4d,Mgp,Chrdl1,Cfh,Smoc2,Igf1,Fnbp1,Podn,Rbp1,Emp2,Mn1,Arap1,Inmt,Entpd2,Fgf7,Icosl,Osr1,Atp1a2,Tgfbi,Tmod3,Itgbl1,Lrrc58,Pard3b,Pid1"
Adipose tissue,Stem cell,"Eng,Ly6a,Sdc1,Cd24a,Slc3a2"
Aorta,B cell,"Cd79a,Ly6d,Cd79b,Mzb1,Igkc,Cd79a"
Aorta,CD8+ T cell,"Cd8b1,Nkg7,Cd8a,Cd3e,Cd4,Cd8a"
Aorta,Dendritic cell,"Cd209a,Cd74,H2-Eb1,Flt3,Cd209a,Itgax,Flt3"
